# Wavelength[nm] QE[0..1.0]
# QE curve for Gpixel GSENSE4040 BSI (Back Illuminated)  4096x4096x9um CMOS sensor
# From QHY4040 website:  https://www.qhyccd.com/scientific-camera-qhy4040-pro/
# Hand digitized by TAL 2023/6/28
200  0.36
210  0.3575
239  0.52
242  0.52
250  0.50
260  0.46
270  0.3975
275  0.39
280  0.3925
290  0.4375
300  0.5
310  0.48
320  0.54
330  0.54
340  0.5
350  0.5375
360  0.49
380  0.62
390  0.5975
400  0.66
415  0.68
420  0.68
430  0.76
450  0.79
460  0.765
480  0.82
490  0.81
500  0.88
510  0.8625
520  0.88
530  0.865
540  0.88
550  0.90
560  0.89
570  0.9175
580  0.90
590  0.92
600  0.905
610  0.87
620  0.88
630  0.865
640  0.87
650  0.8575
660  0.865
670  0.8375
680  0.84
690  0.8275
700  0.79
708  0.755
712  0.755
720  0.76
740  0.72
760  0.68
770  0.695
780  0.65
790  0.66
800  0.61
808  0.62
810  0.62
820  0.5625
830  0.56
840  0.565
850  0.5
860  0.48
880  0.48
900  0.44
920  0.38
925  0.375
935  0.3575
940  0.34
950  0.21
952  0.21
958  0.2725
960  0.27
970  0.21
985  0.1625
995  0.215
1000  0.20
1010  0.1325
1015  0.1275
1040  0.08
1060  0.06
1080  0.0375
1100  0.02
1120  0.0
