# Optics transmission for ESO NTT
# From :https://www.eso.org/observing/etc/bin/simu/calibdisp?FILE.LOCATION=ins%2Ftel%2Fntt-telopt.dat
# Wave(nm) Transmission(%)
300 0.5613
304 0.3525
308 0.3062
312 0.3685
316 2.013
320 6.1
324 12.41
328 20.92
332 29.73
336 38.96
340 47.01
344 53.62
348 59.2
352 63.88
356 66.81
360 69.61
364 71.92
368 73.25
372 74.74
376 75.39
380 76.22
384 76.84
388 78.35
392 78.77
396 79.54
400 80.01
404 80.1
408 80.16
412 80.52
416 80.37
420 80.4
424 80.67
428 80.73
432 80.71
436 80.82
440 80.83
444 80.81
448 81.09
452 80.96
456 81.13
460 80.62
464 80.49
468 81.13
472 80.84
476 81.42
480 81.71
484 80.95
488 80.89
492 81.03
496 81.19
500 80.77
504 81.07
508 81.23
512 81.81
516 81.8
520 81.67
524 81.46
528 81.33
532 81.04
536 80.88
540 81.55
544 80.96
548 81.46
552 81.24
556 80.9
560 80.98
564 81.01
568 80.93
572 80.55
576 80.58
580 80.31
584 80.49
588 80.62
592 80.39
596 79.88
600 80.25
604 80.08
608 79.68
612 79.45
616 79.78
620 79.77
624 79.33
628 79.55
632 79.29
636 79.17
640 79.08
644 78.59
648 78.98
652 78.65
656 78.64
660 78.77
664 79.1
668 78.55
672 78.69
676 78.63
680 78.61
684 78.85
688 78.87
692 77.99
696 78.53
700 78.16
704 78.28
708 78.55
712 77.9
716 78.05
720 78.09
724 77.83
728 77.9
732 77.91
736 78.07
740 77.82
744 77.68
748 77.9
752 78.03
756 77.54
760 77.21
764 77.76
768 77.37
772 77.41
776 77.39
780 77.07
784 77.25
788 77.38
792 76.93
796 77.06
800 76.86
808 76.09
812 76.77
816 76.8
820 77.04
824 76.85
828 76.89
832 76.5
836 76.88
840 76.19
844 77.13
848 76.85
852 76.32
856 76.49
860 76.51
864 76.16
868 76.72
872 76.14
876 75.49
880 76.63
884 76.04
888 76.21
892 75.83
896 75.56
900 75.55
904 75.74
908 75.38
912 75.58
916 75.66
920 75.23
924 75.26
928 75.56
932 75.68
936 75.44
940 75.61
944 75.55
948 75.46
952 75.07
956 74.88
960 74.95
964 74.92
968 75.16
972 74.55
976 74.87
980 75.09
984 74.78
988 74.89
992 74.49
996 74.98
1000 73
1010 71
1020 69
1030 67
1040 65
1050 63
1060 61
1080 60
1100 60
1110 60
1120 60
1130 60
1140 60
1150 60
1160 60
1170 60
1180 60
1190 60
1200 60
1250 60
1350 60
1400 60
1410 62
1420 64
1430 66
1440 68
1450 70
1460 72
1470 74
1480 75
1500 75
1510 75
1520 75
1530 75
1540 75
1560 75
1600 75
1700 75
1800 75
1900 75
2000 75
2200 75
2500 75
3000 75
4000 75
5000 75
6000 75
