ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1264538059,Unique measurement (observation) ID
OPTICID,ADNP-IC-001,Optic Identifier
MEASTSEC,1264538059,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2010-01-26,UTC measurement date (date -u +%F)
MEASTIME,20:34:19 UTC,UTC measurement time (date -u +%T)
OBSERVER,Joseph Tufts,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1300.0,[nm] Measurement start wavelength
MEASSTOP,200.0,[nm] Measurement end wavelength
MEASINVL,0.2,[nm] Measurement sampling interval
MEASSBW,0.2,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,120.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,791.400,[nm] Wavelength of peak signal
TPEAK,9.972466e-01,[ul] Peak transmission
LFWHM,573.690,[nm] Full width half maximum
LBLUE,725.890,[nm] Blue cut-on wavelength
LRED,1299.580,[nm] Red cut-off wavelength
LCENTER,1012.735,[nm] Band center (Red+Blue)/2
LAVG,843.806,[nm] Flux integrated band center
TAVG,3.714105e-01,[ul] Average transmission in bandpass
TBLULEAK,2.152122e-02,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,1.576988e-01,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
200.000,3.223100e-07,1.383020e-06
200.200,7.585290e-06,1.840920e-06
200.400,8.314200e-07,2.262880e-06
200.600,1.000000e-10,2.623070e-06
200.800,1.000000e-10,2.919250e-06
201.000,4.069090e-06,3.168220e-06
201.200,2.678340e-06,3.393770e-06
201.400,1.000000e-10,3.611000e-06
201.600,3.859230e-06,3.815930e-06
201.800,1.000000e-10,3.983080e-06
202.000,4.094980e-06,4.073460e-06
202.200,1.000000e-10,4.052000e-06
202.400,1.000000e-10,3.904230e-06
202.600,5.553780e-06,3.648570e-06
202.800,6.267400e-07,3.332580e-06
203.000,2.059170e-06,3.016990e-06
203.200,2.655620e-06,2.753900e-06
203.400,1.134100e-06,2.567440e-06
203.600,1.907580e-06,2.450370e-06
203.800,1.000000e-10,2.365890e-06
204.000,4.763670e-06,2.274980e-06
204.200,1.000000e-10,2.157920e-06
204.400,1.036680e-06,2.027840e-06
204.600,1.000000e-10,1.926420e-06
204.800,5.327000e-07,1.905300e-06
205.000,2.142740e-06,1.999090e-06
205.200,1.123910e-06,2.203940e-06
205.400,1.000000e-10,2.471480e-06
205.600,4.510220e-06,2.722000e-06
205.800,1.000000e-10,2.870980e-06
206.000,1.000000e-10,2.858830e-06
206.200,2.791420e-06,2.669270e-06
206.400,1.000000e-10,2.338240e-06
206.600,1.235710e-06,1.940500e-06
206.800,1.000000e-10,1.564650e-06
207.000,1.000000e-10,1.287410e-06
207.200,2.146800e-07,1.152150e-06
207.400,1.000000e-10,1.160000e-06
207.600,1.687530e-06,1.272730e-06
207.800,1.000000e-10,1.429020e-06
208.000,2.369360e-06,1.565440e-06
208.200,1.000000e-10,1.635350e-06
208.400,1.000000e-10,1.621470e-06
208.600,1.000000e-10,1.535020e-06
208.800,1.000000e-10,1.408400e-06
209.000,1.000000e-10,1.279840e-06
209.200,4.645600e-07,1.177780e-06
209.400,1.000000e-10,1.112230e-06
209.600,1.000000e-10,1.073450e-06
209.800,1.713050e-06,1.038900e-06
210.000,1.000000e-10,9.833900e-07
210.200,1.072730e-06,8.920600e-07
210.400,2.927800e-07,7.644200e-07
210.600,4.003600e-07,6.133200e-07
210.800,1.000000e-10,4.636100e-07
211.000,1.555300e-07,3.432500e-07
211.200,1.000000e-10,2.767700e-07
211.400,1.000000e-10,2.804600e-07
211.600,5.033100e-07,3.599900e-07
211.800,1.000000e-10,5.095100e-07
212.000,6.863000e-08,7.126300e-07
212.200,1.000000e-10,9.453000e-07
212.400,1.897710e-06,1.180520e-06
212.600,3.072160e-06,1.393810e-06
212.800,2.938400e-07,1.568120e-06
213.000,1.480430e-06,1.695220e-06
213.200,3.397640e-06,1.773820e-06
213.400,3.797400e-07,1.804630e-06
213.600,1.000000e-10,1.786070e-06
213.800,1.000000e-10,1.714080e-06
214.000,2.682000e-06,1.585270e-06
214.200,1.000000e-10,1.403630e-06
214.400,1.000000e-10,1.185800e-06
214.600,3.271000e-07,9.620500e-07
214.800,7.284000e-08,7.710400e-07
215.000,1.772100e-07,6.490800e-07
215.200,1.000000e-10,6.184300e-07
215.400,1.000000e-10,6.801600e-07
215.600,1.000000e-10,8.150600e-07
215.800,1.196410e-06,9.912800e-07
216.000,1.000000e-10,1.176240e-06
216.200,2.263810e-06,1.344740e-06
216.400,1.113200e-06,1.485850e-06
216.600,1.351450e-06,1.600370e-06
216.800,9.712100e-07,1.691380e-06
217.000,1.000000e-10,1.759060e-06
217.200,2.372190e-06,1.796110e-06
217.400,1.000000e-10,1.789580e-06
217.600,1.000000e-10,1.726530e-06
217.800,1.706180e-06,1.601930e-06
218.000,1.000000e-10,1.423500e-06
218.200,9.351200e-07,1.211810e-06
218.400,1.000000e-10,9.951300e-07
218.600,4.363600e-07,8.018200e-07
218.800,3.859300e-07,6.531200e-07
219.000,5.703700e-07,5.587500e-07
219.200,1.000000e-10,5.169500e-07
219.400,1.000000e-10,5.188900e-07
219.600,1.000000e-10,5.540400e-07
219.800,1.000000e-10,6.126200e-07
220.000,1.000000e-10,6.891900e-07
220.200,1.000000e-10,7.817300e-07
220.400,7.615700e-07,8.889500e-07
220.600,1.000000e-10,1.007920e-06
220.800,1.000000e-10,1.131620e-06
221.000,1.549180e-06,1.248510e-06
221.200,1.000000e-10,1.344280e-06
221.400,1.063640e-06,1.404640e-06
221.600,1.000000e-10,1.419230e-06
221.800,2.183800e-06,1.385120e-06
222.000,1.000000e-10,1.308040e-06
222.200,4.663400e-07,1.202070e-06
222.400,1.330670e-06,1.085920e-06
222.600,1.000000e-10,9.781600e-07
222.800,9.343000e-08,8.928000e-07
223.000,1.218790e-06,8.373200e-07
223.200,1.000000e-10,8.114800e-07
223.400,1.000000e-10,8.091100e-07
223.600,8.136800e-07,8.204800e-07
223.800,3.922700e-07,8.347100e-07
224.000,1.000000e-10,8.417700e-07
224.200,1.048570e-06,8.342300e-07
224.400,1.000000e-10,8.072200e-07
224.600,1.261570e-06,7.599000e-07
224.800,1.901700e-07,6.956000e-07
225.000,2.228600e-07,6.220800e-07
225.200,1.000000e-10,5.505000e-07
225.400,8.574400e-07,4.937500e-07
225.600,8.561000e-08,4.637300e-07
225.800,6.311900e-07,4.711400e-07
226.000,5.159600e-07,5.199900e-07
226.200,4.438100e-07,6.058300e-07
226.400,5.426000e-07,7.154600e-07
226.600,1.000000e-10,8.280500e-07
226.800,7.423000e-07,9.195800e-07
227.000,2.316330e-06,9.693600e-07
227.200,1.000000e-10,9.670300e-07
227.400,1.000000e-10,9.162300e-07
227.600,7.535000e-08,8.335400e-07
227.800,1.000000e-10,7.437000e-07
228.000,2.437200e-07,6.733600e-07
228.200,1.554590e-06,6.436900e-07
228.400,1.273600e-07,6.682000e-07
228.600,1.325150e-06,7.508600e-07
228.800,1.000000e-10,8.854100e-07
229.000,1.000000e-10,1.055620e-06
229.200,3.084300e-07,1.237320e-06
229.400,1.000000e-10,1.399040e-06
229.600,2.790700e-06,1.508800e-06
229.800,1.000000e-10,1.541760e-06
230.000,1.000000e-10,1.487930e-06
230.200,1.000000e-10,1.356980e-06
230.400,6.451600e-07,1.178170e-06
230.600,1.912500e-07,9.920300e-07
230.800,1.025260e-06,8.398400e-07
231.000,3.294800e-07,7.523100e-07
231.200,5.546000e-07,7.420700e-07
231.400,1.289070e-06,8.015100e-07
231.600,1.000000e-10,9.063400e-07
231.800,2.881900e-07,1.020800e-06
232.000,2.132800e-06,1.109540e-06
232.200,1.561520e-06,1.144130e-06
232.400,1.000000e-10,1.109710e-06
232.600,1.000000e-10,1.008470e-06
232.800,1.000000e-10,8.601800e-07
233.000,4.316100e-07,6.980000e-07
233.200,1.000000e-10,5.599500e-07
233.400,1.000000e-10,4.795600e-07
233.600,1.000000e-10,4.763700e-07
233.800,1.000000e-10,5.501000e-07
234.000,1.074400e-07,6.802300e-07
234.200,1.261900e-06,8.324100e-07
234.400,2.497730e-06,9.679200e-07
234.600,1.139130e-06,1.055730e-06
234.800,1.000000e-10,1.081220e-06
235.000,1.000000e-10,1.047260e-06
235.200,1.000000e-10,9.711700e-07
235.400,1.000000e-10,8.780500e-07
235.600,4.950100e-07,7.890500e-07
235.800,1.000000e-10,7.176900e-07
236.000,8.021900e-07,6.673100e-07
236.200,9.069900e-07,6.336400e-07
236.400,6.241300e-07,6.106800e-07
236.600,1.000000e-10,5.947100e-07
236.800,1.000000e-10,5.862900e-07
237.000,1.000000e-10,5.888600e-07
237.200,1.000000e-10,6.055700e-07
237.400,3.663800e-07,6.378500e-07
237.600,1.355460e-06,6.835100e-07
237.800,8.822300e-07,7.371500e-07
238.000,2.226600e-07,7.907300e-07
238.200,1.554240e-06,8.367000e-07
238.400,5.569000e-08,8.694200e-07
238.600,1.000000e-10,8.857800e-07
238.800,1.865740e-06,8.848500e-07
239.000,7.282100e-07,8.668800e-07
239.200,1.000000e-10,8.324400e-07
239.400,2.331000e-08,7.821200e-07
239.600,1.000000e-10,7.161900e-07
239.800,1.882750e-06,6.366400e-07
240.000,7.806000e-08,5.474900e-07
240.200,1.000000e-10,4.557300e-07
240.400,1.000000e-10,3.708800e-07
240.600,1.000000e-10,3.032800e-07
240.800,1.000000e-10,2.626600e-07
241.000,1.000000e-10,2.563400e-07
241.200,1.000000e-10,2.871000e-07
241.400,3.883100e-07,3.533900e-07
241.600,1.000000e-10,4.503400e-07
241.800,1.000000e-10,5.682800e-07
242.000,5.059800e-07,6.955400e-07
242.200,1.479460e-06,8.189400e-07
242.400,6.099300e-07,9.254800e-07
242.600,1.395410e-06,1.005400e-06
242.800,1.000000e-10,1.050880e-06
243.000,1.000000e-10,1.060460e-06
243.200,9.499500e-07,1.036500e-06
243.400,3.577400e-07,9.839400e-07
243.600,1.000000e-10,9.111000e-07
243.800,1.545430e-06,8.292400e-07
244.000,1.000000e-10,7.521600e-07
244.200,2.706600e-07,6.943600e-07
244.400,1.000000e-10,6.677600e-07
244.600,2.109800e-07,6.781100e-07
244.800,1.119110e-06,7.217800e-07
245.000,1.000000e-10,7.853400e-07
245.200,2.774600e-07,8.495600e-07
245.400,3.065040e-06,8.964300e-07
245.600,4.136000e-08,9.166300e-07
245.800,9.739300e-07,9.128800e-07
246.000,1.000000e-10,8.999500e-07
246.200,1.000000e-10,8.975100e-07
246.400,1.000000e-10,9.210500e-07
246.600,4.185400e-07,9.739200e-07
246.800,1.183130e-06,1.043930e-06
247.000,1.768080e-06,1.107410e-06
247.200,1.000000e-10,1.137690e-06
247.400,1.245650e-06,1.114980e-06
247.600,1.303700e-06,1.033080e-06
247.800,1.000000e-10,9.034200e-07
248.000,2.164900e-07,7.498600e-07
248.200,1.000000e-10,6.019200e-07
248.400,1.000000e-10,4.857300e-07
248.600,1.000000e-10,4.175000e-07
248.800,1.000000e-10,4.030400e-07
249.000,1.000000e-10,4.355200e-07
249.200,1.000000e-10,5.016100e-07
249.400,1.000000e-10,5.845100e-07
249.600,1.000000e-10,6.681000e-07
249.800,1.000000e-10,7.400600e-07
250.000,7.833000e-07,7.938200e-07
250.200,1.943370e-06,8.296500e-07
250.400,1.947900e-07,8.534200e-07
250.600,7.482300e-07,8.735600e-07
250.800,1.000000e-10,8.974200e-07
251.000,5.472700e-07,9.283100e-07
251.200,1.346770e-06,9.629900e-07
251.400,1.000000e-10,9.923900e-07
251.600,1.000000e-10,1.004790e-06
251.800,1.000000e-10,9.897700e-07
252.000,1.000000e-10,9.418000e-07
252.200,1.000000e-10,8.622400e-07
252.400,1.000000e-10,7.592400e-07
252.600,1.000000e-10,6.476600e-07
252.800,1.000000e-10,5.442800e-07
253.000,3.827800e-07,4.670600e-07
253.200,1.000000e-10,4.319500e-07
253.400,4.870900e-07,4.494100e-07
253.600,4.910000e-08,5.224300e-07
