ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1270494824,Unique measurement (observation) ID
OPTICID,ADNP-P1-002,Optic Identifier
MEASTSEC,1270494824,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2010-04-05,UTC measurement date (date -u +%F)
MEASTIME,19:13:44 UTC,UTC measurement time (date -u +%T)
OBSERVER,jrt,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1300.0,[nm] Measurement start wavelength
MEASSTOP,200.0,[nm] Measurement end wavelength
MEASINVL,0.2,[nm] Measurement sampling interval
MEASSBW,0.2,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,120.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,395.400,[nm] Wavelength of peak signal
TPEAK,9.867403e-01,[ul] Peak transmission
LFWHM,906.490,[nm] Full width half maximum
LBLUE,392.915,[nm] Blue cut-on wavelength
LRED,1299.405,[nm] Red cut-off wavelength
LCENTER,846.160,[nm] Band center (Red+Blue)/2
LAVG,795.016,[nm] Flux integrated band center
TAVG,8.669513e-01,[ul] Average transmission in bandpass
TBLULEAK,2.137303e-03,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,4.269116e-04,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
200.000,2.100000e-10,1.556140e-06
200.200,6.678030e-06,2.195390e-06
200.400,6.097300e-07,2.798620e-06
200.600,5.419460e-06,3.284770e-06
200.800,1.000000e-10,3.592820e-06
201.000,1.000000e-10,3.694840e-06
201.200,1.000000e-10,3.601780e-06
201.400,2.354980e-06,3.359370e-06
201.600,1.000000e-10,3.037150e-06
201.800,3.639760e-06,2.712770e-06
202.000,1.000000e-10,2.454230e-06
202.200,7.014300e-07,2.303380e-06
202.400,1.097250e-06,2.267050e-06
202.600,1.000000e-10,2.316980e-06
202.800,1.000000e-10,2.401560e-06
203.000,3.860540e-06,2.465040e-06
203.200,4.573870e-06,2.468670e-06
203.400,2.484940e-06,2.407610e-06
203.600,1.000000e-10,2.313570e-06
203.800,4.337800e-07,2.234020e-06
204.000,1.147060e-06,2.214210e-06
204.200,1.000000e-10,2.274970e-06
204.400,1.000000e-10,2.402830e-06
204.600,3.574200e-06,2.556100e-06
204.800,4.690590e-06,2.682510e-06
205.000,1.000000e-10,2.739910e-06
205.200,1.617890e-06,2.709440e-06
205.400,6.032500e-07,2.596200e-06
