ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1264535033,Unique measurement (observation) ID
OPTICID,ADNP-UV-001,Optic Identifier
MEASTSEC,1264535033,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2010-01-26,UTC measurement date (date -u +%F)
MEASTIME,19:43:53 UTC,UTC measurement time (date -u +%T)
OBSERVER,Joseph Tufts,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1300.0,[nm] Measurement start wavelength
MEASSTOP,200.0,[nm] Measurement end wavelength
MEASINVL,0.2,[nm] Measurement sampling interval
MEASSBW,0.2,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,120.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,374.200,[nm] Wavelength of peak signal
TPEAK,9.737507e-01,[ul] Peak transmission
LFWHM,956.381,[nm] Full width half maximum
LBLUE,343.541,[nm] Blue cut-on wavelength
LRED,1299.922,[nm] Red cut-off wavelength
LCENTER,821.732,[nm] Band center (Red+Blue)/2
LAVG,1177.610,[nm] Flux integrated band center
TAVG,7.148864e-02,[ul] Average transmission in bandpass
TBLULEAK,1.436295e-03,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,7.312619e-01,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
200.000,2.100000e-10,1.087000e-06
200.200,3.993000e-06,1.627140e-06
200.400,2.621280e-06,2.189120e-06
200.600,2.020510e-06,2.701560e-06
200.800,1.826470e-06,3.093750e-06
201.000,6.377530e-06,3.312940e-06
201.200,5.151050e-06,3.341050e-06
201.400,1.000000e-10,3.199200e-06
201.600,9.065700e-07,2.944800e-06
201.800,1.000000e-10,2.656250e-06
202.000,2.851190e-06,2.410840e-06
202.200,1.088300e-06,2.264380e-06
202.400,1.377120e-06,2.236650e-06
202.600,3.242940e-06,2.314880e-06
202.800,1.000000e-10,2.463940e-06
203.000,2.826900e-06,2.643950e-06
203.200,3.598070e-06,2.826900e-06
203.400,1.000000e-10,3.003260e-06
203.600,3.069860e-06,3.179010e-06
203.800,1.106600e-06,3.359550e-06
204.000,3.975230e-06,3.537010e-06
204.200,1.000000e-10,3.683480e-06
204.400,1.000000e-10,3.758420e-06
204.600,4.394770e-06,3.719920e-06
204.800,3.933550e-06,3.543130e-06
205.000,5.274620e-06,3.232210e-06
205.200,6.607600e-07,2.822260e-06
205.400,5.000000e-07,2.367440e-06
205.600,1.680450e-06,1.923580e-06
205.800,1.000000e-10,1.534520e-06
206.000,1.000000e-10,1.225080e-06
206.200,1.282340e-06,1.002940e-06
206.400,1.000000e-10,8.677300e-07
206.600,1.000000e-10,8.191200e-07
206.800,1.000000e-10,8.595500e-07
207.000,2.747400e-07,9.882400e-07
207.200,1.000000e-10,1.192080e-06
207.400,1.000000e-10,1.442540e-06
207.600,2.067850e-06,1.694910e-06
207.800,1.000000e-10,1.898900e-06
208.000,3.533870e-06,2.012720e-06
208.200,1.000000e-10,2.015950e-06
208.400,8.707500e-07,1.917130e-06
208.600,1.000000e-10,1.748570e-06
208.800,1.000000e-10,1.559330e-06
209.000,1.000000e-10,1.401200e-06
209.200,1.906540e-06,1.314220e-06
209.400,1.773000e-08,1.317350e-06
209.600,1.000000e-10,1.404720e-06
209.800,1.000000e-10,1.548950e-06
210.000,1.000000e-10,1.706300e-06
210.200,2.980280e-06,1.831150e-06
210.400,1.000000e-10,1.883230e-06
210.600,1.000000e-10,1.840640e-06
210.800,1.233460e-06,1.702390e-06
211.000,1.000000e-10,1.488600e-06
211.200,1.000000e-10,1.237310e-06
211.400,1.142150e-06,9.971200e-07
211.600,7.318800e-07,8.158300e-07
211.800,1.000000e-10,7.301800e-07
212.000,1.414700e-07,7.571700e-07
212.200,1.000000e-10,8.883700e-07
212.400,7.318000e-08,1.089100e-06
212.600,3.703920e-06,1.306850e-06
212.800,1.242140e-06,1.483480e-06
213.000,3.951880e-06,1.572670e-06
213.200,1.788500e-07,1.553570e-06
213.400,1.000000e-10,1.438380e-06
213.600,1.804190e-06,1.268260e-06
213.800,1.000000e-10,1.102210e-06
214.000,1.289300e-07,9.979800e-07
214.200,1.000000e-10,9.936800e-07
214.400,1.000000e-10,1.095740e-06
214.600,1.000000e-10,1.276410e-06
214.800,1.398040e-06,1.482770e-06
215.000,3.311070e-06,1.653380e-06
215.200,1.000000e-10,1.737890e-06
215.400,1.000000e-10,1.712750e-06
215.600,1.000000e-10,1.587940e-06
215.800,7.116700e-07,1.403110e-06
216.000,1.811000e-07,1.216440e-06
216.200,1.806320e-06,1.084540e-06
216.400,2.515700e-07,1.048970e-06
216.600,1.000000e-10,1.123470e-06
216.800,1.340270e-06,1.295270e-06
217.000,1.000000e-10,1.530410e-06
217.200,2.318450e-06,1.783410e-06
217.400,1.000000e-10,2.007710e-06
217.600,1.000000e-10,2.167280e-06
217.800,1.000000e-10,2.241770e-06
218.000,1.000000e-10,2.227700e-06
218.200,2.383320e-06,2.136840e-06
218.400,1.000000e-10,1.993970e-06
218.600,1.000000e-10,1.830320e-06
218.800,8.366600e-07,1.678390e-06
219.000,2.418490e-06,1.566860e-06
219.200,1.000000e-10,1.515140e-06
219.400,1.000000e-10,1.528060e-06
219.600,3.619000e-07,1.596310e-06
219.800,1.127310e-06,1.697330e-06
220.000,3.763720e-06,1.802870e-06
220.200,1.000000e-10,1.886470e-06
220.400,1.751740e-06,1.930140e-06
220.600,1.000000e-10,1.927480e-06
220.800,1.361420e-06,1.881830e-06
221.000,1.024080e-06,1.801610e-06
221.200,1.000000e-10,1.694960e-06
221.400,2.746240e-06,1.567310e-06
221.600,1.000000e-10,1.421510e-06
221.800,2.945200e-07,1.260340e-06
222.000,1.139560e-06,1.089630e-06
222.200,1.000000e-10,9.191000e-07
222.400,6.137700e-07,7.620000e-07
222.600,1.000000e-10,6.304100e-07
222.800,1.000000e-10,5.317700e-07
223.000,1.000000e-10,4.677200e-07
223.200,2.904200e-07,4.352200e-07
223.400,1.000000e-10,4.297000e-07
223.600,1.000000e-10,4.472600e-07
223.800,9.205000e-07,4.848300e-07
224.000,1.331600e-07,5.403100e-07
224.200,1.487900e-07,6.101600e-07
224.400,1.000000e-10,6.871200e-07
224.600,1.000000e-10,7.621700e-07
224.800,1.495830e-06,8.262400e-07
225.000,1.000000e-10,8.733500e-07
225.200,6.757200e-07,9.042000e-07
225.400,9.049200e-07,9.271800e-07
225.600,5.236000e-07,9.536900e-07
225.800,1.000000e-10,9.934900e-07
226.000,1.493070e-06,1.047590e-06
