ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1375196833,Unique measurement (observation) ID
OPTICID,C3_406C_70_916-9718-3,Optic Identifier
MEASTSEC,1375196833,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2013-07-30,UTC measurement date (date -u +%F)
MEASTIME,15:07:13 UTC,UTC measurement time (date -u +%T)
OBSERVER,slad,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1225.0,[nm] Measurement start wavelength
MEASSTOP,275.0,[nm] Measurement end wavelength
MEASINVL,1.0,[nm] Measurement sampling interval
MEASSBW,2.5,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,600.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,412.000,[nm] Wavelength of peak signal
TPEAK,3.049298e-01,[ul] Peak transmission
LFWHM,9.354,[nm] Full width half maximum
LBLUE,407.178,[nm] Blue cut-on wavelength
LRED,416.531,[nm] Red cut-off wavelength
LCENTER,411.855,[nm] Band center (Red+Blue)/2
LAVG,411.311,[nm] Flux integrated band center
TAVG,2.501673e-01,[ul] Average transmission in bandpass
TBLULEAK,6.835272e-02,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,8.775581e-02,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
275.000,1.174730e-06,3.022400e-07
276.000,2.703700e-07,4.144400e-07
277.000,5.056000e-07,5.377000e-07
278.000,1.067000e-07,6.639800e-07
279.000,8.868400e-07,7.813700e-07
280.000,8.400400e-07,8.742900e-07
281.000,1.760570e-06,9.279700e-07
282.000,1.000000e-10,9.330600e-07
283.000,1.000000e-10,8.892800e-07
284.000,4.136400e-07,8.069900e-07
285.000,1.000000e-10,7.055200e-07
286.000,1.000000e-10,6.082300e-07
287.000,1.000000e-10,5.360900e-07
288.000,1.000000e-10,5.027000e-07
289.000,1.000000e-10,5.112200e-07
290.000,1.000000e-10,5.549800e-07
291.000,5.503100e-07,6.206900e-07
292.000,2.801100e-07,6.941400e-07
293.000,1.785810e-06,7.637900e-07
294.000,1.000000e-10,8.241500e-07
295.000,5.436000e-07,8.747100e-07
296.000,1.000000e-10,9.173600e-07
297.000,1.000000e-10,9.532800e-07
