ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1375197897,Unique measurement (observation) ID
OPTICID,C840_90_939-9924,Optic Identifier
MEASTSEC,1375197897,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2013-07-30,UTC measurement date (date -u +%F)
MEASTIME,15:24:57 UTC,UTC measurement time (date -u +%T)
OBSERVER,slad,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1225.0,[nm] Measurement start wavelength
MEASSTOP,275.0,[nm] Measurement end wavelength
MEASINVL,1.0,[nm] Measurement sampling interval
MEASSBW,2.5,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,600.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,685.000,[nm] Wavelength of peak signal
TPEAK,7.810277e-01,[ul] Peak transmission
LFWHM,9.315,[nm] Full width half maximum
LBLUE,680.046,[nm] Blue cut-on wavelength
LRED,689.361,[nm] Red cut-off wavelength
LCENTER,684.704,[nm] Band center (Red+Blue)/2
LAVG,1202.270,[nm] Flux integrated band center
TAVG,2.698095e-02,[ul] Average transmission in bandpass
TBLULEAK,2.096749e-02,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,2.473030e-01,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
275.000,3.181840e-06,8.436400e-07
276.000,3.993400e-07,9.625500e-07
277.000,1.964110e-06,1.004290e-06
278.000,1.000000e-10,9.684500e-07
279.000,1.897700e-07,8.733000e-07
280.000,1.473700e-07,7.475600e-07
281.000,2.502600e-07,6.220500e-07
282.000,6.170900e-07,5.212100e-07
283.000,7.377900e-07,4.580700e-07
284.000,7.037900e-07,4.351800e-07
285.000,2.177200e-07,4.485400e-07
286.000,1.000000e-10,4.928200e-07
287.000,1.000000e-10,5.634500e-07
288.000,6.253100e-07,6.550700e-07
289.000,1.036930e-06,7.592600e-07
290.000,9.274300e-07,8.634600e-07
291.000,1.000000e-10,9.505800e-07
292.000,4.912500e-07,1.004650e-06
293.000,2.583000e-06,1.013790e-06
294.000,1.000000e-10,9.785300e-07
295.000,1.705000e-07,9.117400e-07
296.000,1.000000e-10,8.356500e-07
