# Wavelength [nm]	Transmittance [0..1]
# Optical transmission for Schott N-BK7 (10mm thickness)
# From: https://www.us.schott.com/d/advanced_optics/31255521-bf27-46f1-ab3b-f35290482499/schott-datasheet-n-bk7-english.pdf
280     0.0
290     0.060
300     0.290
310     0.570
320     0.770
334     0.910
350     0.967
365     0.988
370     0.991
380     0.993
390     0.996
400     0.997
405     0.997
420     0.997
436     0.997
460     0.997
500     0.998
546     0.998
580     0.998
620     0.998
660     0.998
700     0.998
1060    0.999
1530    0.992
1970    0.930
2325    0.790
2500    0.670
