# Wavelength [nm]   Transmittance [0..1]
# Optical transmission for NaCl (0.3"==7.62mm thickness), internal transmission only
# From: https://refractiveindex.info/?shelf=main&book=NaCl&page=Querry
180.0   0.1
200.0   0.5
220.0   1
240.0   1
260.0   1
280.0   1
300.0   1
320.0   1
340.0   1
360.0   1
380.0   1
400.0   1
420.0   1
440.0   1
460.0   1
480.0   1
500.0   1
520.0   1
540.0   1
560.0   1
580.0   1
600.0   1
620.0   1
640.0   1
660.0   1
680.0   1
700.0   1
720.0   1
740.0   1
760.0   1
780.0   1
800.0   1
820.0   1
840.0   1
860.0   1
880.0   1
900.0   1
920.0   1
940.0   1
960.0   1
980.0   1
1000.0  1
1020.0  1
1040.0  1
1060.0  1
1080.0  1
1100.0  1
1120.0  1
1140.0  1
1160.0  1
1180.0  1
1200.0  1
1220.0  1
1240.0  1
1260.0  1
1280.0  1
1300.0  1
1320.0  1
1340.0  1
1360.0  1
1380.0  1
1400.0  1
1420.0  1
1440.0  1
1460.0  1
1480.0  1
1500.0  1
1520.0  1
1540.0  1
1560.0  1
1580.0  1
1600.0  1
1620.0  1
1640.0  1
1660.0  1
1680.0  1
1700.0  1
1720.0  1
1740.0  1
1760.0  1
1780.0  1
1800.0  1
1820.0  1
1840.0  1
1860.0  1
1880.0  1
1900.0  1
1920.0  1
1940.0  1
1960.0  1
1980.0  1
2000.0  1
2020.0  1
2040.0  1
2060.0  1
2080.0  1
2100.0  1
2120.0  1
2140.0  1
2160.0  1
2180.0  1
2200.0  1
2220.0  1
2240.0  1
2260.0  1
2280.0  1
2300.0  1
2320.0  1
2340.0  1
2360.0  1
2380.0  1
2400.0  1
2420.0  1
2440.0  1
2460.0  1
2480.0  1
2500.0  1
2512.6  1
2525.3  1
2538.1  1
2551.0  1
2564.1  1
2577.3  1
2590.7  1
2604.2  1
2617.8  1
2631.6  1
2645.5  1
2659.6  1
2673.8  1
2688.2  1
2702.7  1
2717.4  1
2732.2  1
2747.3  1
2762.4  1
2777.8  1
2793.3  1
2809.0  1
2824.9  1
2840.9  1
2857.1  1
2873.6  1
2890.2  1
2907.0  1
2924.0  1
2941.2  1
2958.6  1
2976.2  1
2994.0  1
3012.0  1
3030.3  1
3048.8  1
3067.5  1
3086.4  1
3105.6  1
3125.0  1
3144.7  1
3164.6  1
3184.7  1
3205.1  1
3225.8  1
3246.8  1
3268.0  1
3289.5  1
3311.3  1
3333.3  1
3355.7  1
3378.4  1
3401.4  1
3424.7  1
3448.3  1
3472.2  1
3496.5  1
3521.1  1
3546.1  1
3571.4  1
3597.1  1
3623.2  1
3649.6  1
3676.5  1
3703.7  1
3731.3  1
3759.4  1
3787.9  1
3816.8  1
3846.2  1
3876.0  1
3906.3  1
3937.0  1
3968.3  1
4000.0  1
4032.3  1
4065.0  1
4098.4  1
4132.2  1
4166.7  1
4201.7  1
4237.3  1
4273.5  1
4310.3  1
4347.8  1
4386.0  1
4424.8  1
4464.3  1
4504.5  1
4545.5  1
4587.2  1
4629.6  1
4672.9  1
4717.0  1
4761.9  1
4807.7  1
4854.4  1
4902.0  1
4950.5  1
5000.0  1
5050.5  1
5102.0  1
5154.6  1
5208.3  1
5263.2  1
5319.1  1
5376.3  1
5434.8  1
5494.5  1
5555.6  1
5618.0  1
5681.8  1
5747.1  1
5814.0  1
5882.4  1
5952.4  1
6024.1  1
6097.6  1
6172.8  1
6250.0  1
6329.1  1
6410.3  1
6493.5  1
6578.9  1
6666.7  1
6756.8  1
6849.3  1
6944.4  1
7042.3  1
7142.9  1
7246.4  1
7352.9  1
7462.7  1
7575.8  1
7692.3  1
7812.5  1
7936.5  1
8064.5  1
8196.7  1
8333.3  1
8474.6  1
8620.7  1
8771.9  1
8928.6  1
9090.9  1
9259.3  1
9434.0  1
9615.4  1
9803.9  1
10000.0 1
10204.1 1
10416.7 1
10638.3 1
10869.6 1
11111.1 1
11363.6 1
11627.9 1
11904.8 1
12195.1 1
12500.0 1
12820.5 1
13157.9 1
13513.5 1
13888.9 1
14285.7 1
14705.9 1
15151.5 1
15625.0 1
16129.0 1
16666.7 1
17241.4 1
17857.1 0.004689944463045
18518.5 1.83244217187444E-07
19230.8 1.059568613307E-13
20000.0 4.01284314009457E-11
20833.3 1.03618786483249E-08
21739.1 1.82430551465023E-06
22727.3 0.00021898761826
23809.5 5.7561839039421E-06
25000.0 1.02248524161286E-05
26315.8 7.51891363701809E-23
27777.8 3.40315267743537E-17
29411.8 1.4730144416042E-44
31250.0 6.20657626576341E-66
33333.3 5.57349319133129E-128
35714.3 5.25996650832699E-201
38461.5 0
41666.7 0
45454.5 0
50000.0 0
55555.6 0
62500.0 0
71428.6 2.63841719506025E-132
83333.3 3.90591685701769E-48
100000.0    9.51990744043387E-33
125000.0    2.39355472503967E-24
166666.7    1.06424723254828E-14
