#Wavelength (nm)	%Transmission
# Transmission for uncoated UV fused silica
# From: ThorLabs Excel spreadsheet linked from https://www.thorlabs.com/NewGroupPage9.cfm?ObjectGroup_ID=3983
200	0.8742839
201	0.8777782
202	0.880833
203	0.8834447
204	0.8863473
205	0.8890193
206	0.8909737
207	0.8933685
208	0.8952925
209	0.8962326
210	0.8978714
211	0.8990145
212	0.9001561
213	0.9011251
214	0.9020165
215	0.902305
216	0.9030229
217	0.9035076
218	0.9035607
219	0.9040095
220	0.9041387
221	0.9038098
222	0.9047105
223	0.9048544
224	0.9048172
225	0.905406
226	0.905586
227	0.9052458
228	0.9057682
229	0.906169
230	0.906068
231	0.9071046
232	0.9072859
233	0.9075572
234	0.9083079
235	0.9091761
236	0.9096413
237	0.9106312
238	0.9115471
239	0.9117458
240	0.9128686
241	0.9136544
242	0.9141145
243	0.914935
244	0.9157248
245	0.9158959
246	0.9168351
247	0.9177863
248	0.9177577
249	0.9183112
250	0.9190164
251	0.9187905
252	0.9198394
253	0.9198422
254	0.9199367
255	0.9201606
256	0.9207748
257	0.920553
258	0.9208649
259	0.9212882
260	0.9209136
261	0.9215847
262	0.9217665
263	0.9215989
264	0.9220548
265	0.9221954
266	0.9220027
267	0.9225838
268	0.9228366
269	0.922507
270	0.9231917
271	0.9232267
272	0.9229323
273	0.9235812
274	0.9237256
275	0.9232782
276	0.9239217
277	0.9242233
278	0.9239715
279	0.9244789
280	0.9245639
281	0.9246478
282	0.9247307
283	0.9248125
284	0.9248933
285	0.924973
286	0.9250518
287	0.9251296
288	0.9252064
289	0.9252823
290	0.9253572
291	0.9254312
292	0.9255044
293	0.9255766
294	0.925648
295	0.9257185
296	0.9257882
297	0.9258571
298	0.9259251
299	0.9259923
300	0.9260588
301	0.9261245
302	0.9261894
303	0.9262536
304	0.926317
305	0.9263797
306	0.9264417
307	0.926503
308	0.9265636
309	0.9266236
310	0.9266828
311	0.9267414
312	0.9267994
313	0.9268567
314	0.9269134
315	0.9269694
316	0.9270249
317	0.9270797
318	0.927134
319	0.9271877
320	0.9272408
321	0.9272933
322	0.9273453
323	0.9273967
324	0.9274476
325	0.927498
326	0.9275478
327	0.9275971
328	0.9276459
329	0.9276942
330	0.927742
331	0.9277893
332	0.9278362
333	0.9278825
334	0.9279284
335	0.9279739
336	0.9280188
337	0.9280634
338	0.9281074
339	0.9281511
340	0.9281943
341	0.9282371
342	0.9282795
343	0.9283214
344	0.928363
345	0.9284041
346	0.9284449
347	0.9284853
348	0.9285252
349	0.9285648
350	0.9286041
351	0.9286429
352	0.9286814
353	0.9287195
354	0.9287573
355	0.9287947
356	0.9288318
357	0.9288685
358	0.9289049
359	0.9289409
360	0.9289767
361	0.9290121
362	0.9290471
363	0.9290819
364	0.9291163
365	0.9291505
366	0.9291843
367	0.9292179
368	0.9292511
369	0.929284
370	0.9293167
371	0.929349
372	0.9293811
373	0.9294129
374	0.9294444
375	0.9294757
376	0.9295067
377	0.9295374
378	0.9295678
379	0.929598
380	0.929628
381	0.9296576
382	0.9296871
383	0.9297163
384	0.9297452
385	0.9297739
386	0.9298023
387	0.9298306
388	0.9298585
389	0.9298863
390	0.9299138
391	0.9299411
392	0.9299682
393	0.9299951
394	0.9300217
395	0.9300481
396	0.9300743
397	0.9301003
398	0.9301261
399	0.9301517
400	0.9301771
401	0.9302023
402	0.9302272
403	0.930252
404	0.9302766
405	0.930301
406	0.9303252
407	0.9303492
408	0.9303731
409	0.9303967
410	0.9304202
411	0.9304435
412	0.9304666
413	0.9304895
414	0.9305123
415	0.9305348
416	0.9305573
417	0.9305795
418	0.9306016
419	0.9306235
420	0.9306452
421	0.9306668
422	0.9306883
423	0.9307095
424	0.9307306
425	0.9307516
426	0.9307724
427	0.9307931
428	0.9308136
429	0.9308339
430	0.9308541
431	0.9308742
432	0.9308941
433	0.9309139
434	0.9309335
435	0.930953
436	0.9309724
437	0.9309916
438	0.9310107
439	0.9310296
