# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
150.38 5.522122e-05
151.13 8.061487e-05
151.88 0.0001157854
152.64 0.0002128488
153.39 0.0003790294
154.15 0.0004883389
154.90 0.000566578
155.65 0.000703399
156.41 0.0008967065
157.16 0.00119896
157.92 0.001558963
158.67 0.001930149
159.42 0.002125883
160.18 0.002313588
160.93 0.002613506
161.69 0.00294665
162.44 0.003339255
163.19 0.003944758
163.95 0.004674145
164.70 0.005095989
165.46 0.005097853
166.21 0.005822194
166.96 0.007127115
167.72 0.009853329
168.47 0.01475231
169.23 0.02090164
169.98 0.02639773
170.73 0.03042949
171.49 0.0343786
172.24 0.04063408
173.00 0.04901158
173.75 0.06360894
174.50 0.08158434
175.26 0.09634257
176.01 0.1034818
176.77 0.1083569
177.52 0.1204755
178.27 0.1425791
179.03 0.1676674
179.78 0.1848284
180.54 0.1892894
181.29 0.193227
182.04 0.2056619
182.80 0.2223009
183.55 0.2231205
184.31 0.2234835
185.06 0.2502289
185.81 0.3007576
186.57 0.3583692
187.32 0.396732
188.08 0.4389531
188.83 0.4876846
189.58 0.5287598
190.34 0.553455
191.09 0.5789187
191.85 0.5733106
192.60 0.5547441
193.35 0.5660072
194.11 0.6540225
194.86 0.7995378
195.62 0.9325147
196.37 1.043466
197.12 1.12442
197.88 1.158758
198.63 1.204779
199.39 1.254747
200.14 1.303259
200.89 1.339534
201.65 1.359985
202.40 1.414092
203.16 1.519136
203.91 1.705238
204.66 1.847535
205.42 1.96404
206.17 2.077329
206.93 2.305426
207.68 2.667466
208.43 3.318699
209.19 4.386343
209.94 6.441175
210.70 8.299567
211.45 9.771596
212.20 10.23921
212.96 10.85261
213.71 11.70652
214.47 12.89067
215.22 13.21567
215.97 13.07447
216.73 12.66739
217.48 13.28545
218.24 14.50352
218.99 15.79034
219.74 16.1658
220.50 15.67935
221.25 15.46087
222.01 16.55754
222.76 19.04089
223.51 20.90198
224.27 21.00282
225.02 18.98793
225.78 17.19505
226.53 16.37129
227.28 17.43033
228.04 18.83603
228.79 20.35466
229.55 21.12672
230.30 21.68662
231.05 22.07482
231.81 20.77092
232.56 18.83303
233.32 16.34729
234.07 14.93682
234.82 14.12531
235.58 14.22167
236.33 13.70496
237.09 12.77292
237.84 11.84956
238.59 11.18386
239.35 10.83354
240.10 11.56778
240.86 13.13851
241.61 16.45328
242.36 19.62774
243.12 22.63595
243.87 24.10219
244.63 25.09193
245.38 25.49458
246.13 23.864
246.89 21.56125
247.64 18.29167
248.40 16.35263
249.15 15.49203
249.90 16.13267
250.66 16.40795
251.41 15.08089
252.17 14.61274
252.92 14.76643
253.67 19.52334
254.43 25.7777
255.18 35.45615
255.94 44.08487
256.69 51.7998
257.44 53.30252
258.20 52.83047
258.95 47.2962
259.71 42.58213
260.46 39.08623
261.21 42.49409
261.97 49.11527
262.72 73.5743
263.48 100.3664
264.23 131.8947
264.98 152.6571
265.74 160.4882
266.49 160.5485
267.25 157.2058
268.00 157.1353
268.75 156.2361
269.51 149.3396
270.26 139.309
271.02 123.851
271.77 108.9
272.52 94.30158
273.28 84.83334
274.03 76.89638
274.79 81.65978
275.54 87.63003
276.29 97.16598
277.05 100.4029
277.80 88.49385
278.56 75.48461
279.31 61.17184
280.06 66.08092
280.82 83.66537
281.57 109.3405
282.33 137.9434
283.08 136.4
283.83 130.5948
284.59 117.5475
285.34 108.5147
286.10 132.5042
286.85 158.6632
287.60 192.2668
288.36 225.8236
289.11 258.9231
289.87 288.0172
290.62 310.7045
291.37 322.1061
292.13 320.4463
292.88 315.0431
293.64 306.2807
294.39 302.051
295.14 301.0467
295.90 300.1653
296.65 299.3491
297.41 301.5199
298.16 305.2109
298.91 311.7851
299.67 319.6856
300.42 327.1021
301.18 334.342
301.93 345.3536
302.68 357.949
303.44 368.4357
304.19 378.0823
304.95 383.2875
305.70 386.5233
306.45 391.4148
307.21 397.1482
307.96 396.8069
308.72 392.9131
309.47 397.6287
310.22 408.427
310.98 419.8073
311.73 431.7079
312.49 436.0786
