# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
150.38 0.0001463252
151.13 0.0002070483
151.88 0.0002887558
152.64 0.0005162683
153.39 0.0008954684
154.15 0.001125289
154.90 0.001275005
155.65 0.001547622
156.41 0.001931028
157.16 0.002529578
157.92 0.003225396
158.67 0.003919347
159.42 0.004240183
160.18 0.004536046
160.93 0.005040389
161.69 0.005593745
162.44 0.006243445
163.19 0.007268534
163.95 0.008492135
164.70 0.009133866
165.46 0.009018528
166.21 0.01017083
166.96 0.01229968
167.72 0.01680553
168.47 0.02487644
169.23 0.0348601
169.98 0.04356004
170.73 0.04969761
171.49 0.0555888
172.24 0.06506991
173.00 0.07775094
173.75 0.09999147
174.50 0.1271174
175.26 0.1488264
176.01 0.158524
176.77 0.1646486
177.52 0.1816217
178.27 0.2132973
179.03 0.2489591
179.78 0.272448
180.54 0.2770506
181.29 0.280865
182.04 0.296932
182.80 0.3188534
183.55 0.3179849
184.31 0.3165176
185.06 0.3522417
185.81 0.4208566
186.57 0.4985669
187.32 0.5488127
188.08 0.6038599
188.83 0.6672725
189.58 0.7196507
190.34 0.74937
191.09 0.7798875
191.85 0.7685159
192.60 0.7400323
193.35 0.7514847
194.11 0.8643205
194.86 1.051835
195.62 1.221326
196.37 1.360696
197.12 1.460015
197.88 1.498322
198.63 1.551456
199.39 1.609324
200.14 1.664975
200.89 1.704723
201.65 1.724208
202.40 1.786159
203.16 1.911863
203.91 2.138418
204.66 2.30875
205.42 2.445904
206.17 2.57826
206.93 2.851884
207.68 3.289007
208.43 4.078914
209.19 5.374213
209.94 7.867506
210.70 10.10673
211.45 11.86389
212.20 12.39528
212.96 13.10011
213.71 14.09095
214.47 15.47322
215.22 15.82004
215.97 15.609
216.73 15.08309
217.48 15.77796
218.24 17.18058
218.99 18.65794
219.74 19.05438
220.50 18.43607
221.25 18.13569
222.01 19.37636
222.76 22.23084
223.51 24.34805
224.27 24.41058
225.02 22.01997
225.78 19.89739
226.53 18.90357
227.28 20.08393
228.04 21.65852
228.79 23.35678
229.55 24.19381
230.30 24.78565
231.05 25.17994
231.81 23.64693
232.56 21.39997
233.32 18.54064
234.07 16.90965
234.82 15.96188
235.58 16.04195
236.33 15.43179
237.09 14.35726
237.84 13.29649
238.59 12.52826
239.35 12.11556
240.10 12.9154
240.86 14.6453
241.61 18.31087
242.36 21.80923
243.12 25.11263
243.87 26.69823
244.63 27.75247
245.38 28.15567
246.13 26.31603
246.89 23.74209
247.64 20.1129
248.40 17.95534
249.15 16.98663
249.90 17.66469
250.66 17.94166
251.41 16.46841
252.17 15.93605
252.92 16.08259
253.67 21.23604
254.43 28.00335
255.18 38.46899
255.94 47.77154
256.69 56.06284
257.44 57.61941
258.20 57.0409
258.95 51.00533
259.71 45.86808
260.46 42.05399
261.21 45.66868
261.97 52.72532
262.72 78.89467
263.48 107.5065
264.23 141.1251
264.98 163.1663
265.74 171.3558
266.49 171.2418
267.25 167.5042
268.00 167.2591
268.75 166.1351
269.51 158.6444
270.26 147.844
271.02 131.3119
271.77 115.35
272.52 99.79268
273.28 89.68942
274.03 81.22327
274.79 86.17621
275.54 92.39354
276.29 102.3568
277.05 105.6738
277.80 93.05884
278.56 79.31049
279.31 64.21786
280.06 69.31334
280.82 87.68537
281.57 114.5005
282.33 144.3365
283.08 142.6078
283.83 136.4306
284.59 122.7046
285.34 113.1882
286.10 138.1057
286.85 165.2461
287.60 200.095
288.36 234.8452
289.11 269.0715
289.87 299.0909
290.62 322.4215
291.37 334.0186
292.13 332.0669
292.88 326.244
293.64 316.9552
294.39 312.3688
295.14 311.124
295.90 310.0101
296.65 308.9671
297.41 311.0087
298.16 314.6168
298.91 321.1928
299.67 329.1282
300.42 336.5583
301.18 343.7998
301.93 354.911
302.68 367.6381
303.44 378.188
304.19 387.8662
304.95 392.9821
305.70 396.0765
306.45 400.8656
307.21 406.5136
307.96 405.9432
308.72 401.7435
309.47 406.349
310.22 417.1647
310.98 428.5656
311.73 440.4882
312.49 444.7219
313.24 440.1395
