# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
150.38 3.228039e-05
151.13 4.820208e-05
151.88 7.064881e-05
152.64 0.000132269
153.39 0.0002394721
154.15 0.0003132267
154.90 0.0003684647
155.65 0.0004632863
156.41 0.0005975588
157.16 0.0008076775
157.92 0.001060801
158.67 0.001325721
159.42 0.001472967
160.18 0.001616174
160.93 0.001839726
161.69 0.002089228
162.44 0.002383706
163.19 0.002834021
163.95 0.003378411
164.70 0.003704478
165.46 0.003726026
166.21 0.004277471
166.96 0.005261951
167.72 0.007308826
168.47 0.01099165
169.23 0.01563989
169.98 0.01983306
170.73 0.02295155
171.49 0.0260273
172.24 0.03087372
173.00 0.0373674
173.75 0.04865753
174.50 0.06260687
175.26 0.07415926
176.01 0.07989046
176.77 0.08389301
177.52 0.09353268
178.27 0.1109878
179.03 0.1308532
179.78 0.1446055
180.54 0.1484526
181.29 0.1518946
182.04 0.1620356
182.80 0.1755296
183.55 0.1765522
184.31 0.1772054
185.06 0.1988115
185.81 0.2394247
186.57 0.2858302
187.32 0.3170134
188.08 0.3513829
188.83 0.391078
189.58 0.4247421
190.34 0.4453211
191.09 0.466568
191.85 0.4627824
192.60 0.44849
193.35 0.4582892
194.11 0.5303384
194.86 0.6492734
195.62 0.758331
196.37 0.8497329
197.12 0.9168983
197.88 0.9461533
198.63 0.9850091
199.39 1.027169
200.14 1.068214
200.89 1.099291
201.65 1.117414
202.40 1.163239
203.16 1.251092
203.91 1.40595
204.66 1.524969
205.42 1.622907
206.17 1.718364
206.93 1.90906
207.68 2.211149
208.43 2.753786
209.19 3.64335
209.94 5.355405
210.70 6.907243
211.45 8.140108
212.20 8.537682
212.96 9.057551
213.71 9.779143
214.47 10.77803
215.22 11.05957
215.97 10.95097
216.73 10.61916
217.48 11.14675
218.24 12.17894
218.99 13.27048
219.74 13.5971
220.50 13.19857
221.25 13.02501
222.01 13.95985
222.76 16.06602
223.51 17.64984
224.27 17.7484
225.02 16.0577
225.78 14.55224
226.53 13.86519
227.28 14.77276
228.04 15.97551
228.79 17.27568
229.55 17.94345
230.30 18.43169
231.05 18.77442
231.81 17.67739
232.56 16.03882
233.32 13.93109
234.07 12.73742
234.82 12.05321
235.58 12.14321
236.33 11.70945
237.09 10.91998
237.84 10.13688
238.59 9.573308
239.35 9.279108
240.10 9.914
240.86 11.26694
241.61 14.11792
242.36 16.85173
243.12 19.44586
243.87 20.71748
244.63 21.58064
245.38 21.93945
246.13 20.54787
246.89 18.57553
247.64 15.76749
248.40 14.10382
249.15 13.3689
249.90 13.92932
250.66 14.17465
251.41 13.03521
252.17 12.63729
252.92 12.77695
253.67 16.90182
254.43 22.32801
255.18 30.72714
255.94 38.22464
256.69 44.93696
257.44 46.26404
258.20 45.87744
258.95 41.0921
259.71 37.01482
260.46 33.99278
261.21 36.97471
261.97 42.75677
262.72 64.08043
263.48 87.45752
264.23 114.9859
264.98 133.1501
265.74 140.0469
266.49 140.1657
267.25 137.3117
268.00 137.3142
268.75 136.5918
269.51 130.6227
270.26 121.9052
271.02 108.4279
271.77 95.38211
272.52 82.63318
273.28 74.36995
274.03 67.44214
274.79 71.65182
275.54 76.9245
276.29 85.33313
277.05 88.21462
277.80 77.7853
278.56 66.3792
279.31 53.81625
280.06 58.16016
280.82 73.66851
281.57 96.31708
282.33 121.5649
283.08 120.2558
283.83 115.1864
284.59 103.7222
285.34 95.79193
286.10 117.0177
286.85 140.1777
287.60 169.9367
288.36 199.6786
289.11 229.0403
289.87 254.8811
290.62 275.0707
291.37 285.2808
292.13 283.926
292.88 279.2516
293.64 271.5941
294.39 267.9511
295.14 267.1671
295.90 266.4913
296.65 265.8724
297.41 267.9067
298.16 271.2935
298.91 277.2464
299.67 284.3835
300.42 291.0951
301.18 297.6543
301.93 307.5774
302.68 318.919
303.44 328.3895
304.19 337.1178
304.95 341.8908
305.70 344.9096
306.45 349.4084
307.21 354.6621
307.96 354.4925
308.72 351.1474
309.47 355.4967
310.22 365.2891
310.98 375.6092
311.73 386.4025
312.49 390.4613
313.24 386.777
313.99 382.7258
314.75 378.1251
315.50 376.0108
316.26 379.6276
317.01 383.5757
