# Wavelength(nm) QE_R(0..1.0) QE_UV(0..1.0)
# QE curve for Princeton Instruments SOPHIA (e2v 42-40 NIMO back illuminated, deep depletion) CCD for 'R' and 'UV' coating
# Hand digitized by TAL 2021/04/10
250   0.08      0.69
275   0.07	0.53
300   0.22      0.59
325   0.32	0.61
350   0.35      0.58
375   0.34	0.53
400   0.42      0.60
450   0.52      0.63
500   0.62      0.65
550   0.71      0.65
600   0.78      0.655
650   0.84      0.655
700   0.91      0.65
750   0.93      0.62
800   0.94      0.58
850   0.92      0.49
900   0.81      0.37
950   0.60      0.23
1000  0.32      0.11
1050  0.10      0.04
1075  0.0	0.02
1100  0.0	0.0
