#QE for e2v 42-80 2k x 4k CCD (From: https://www.ing.iac.es/Engineering/detectors/4280qe.htm)
#nm     QE(-120C)    QE(+20C)
340     4.91E+01     59.14421
350     5.07E+01     60.73691
360     5.31E+01     61.89309
370     5.74E+01     63.70925
380     6.50E+01     69.96012
390     7.14E+01     75.51959
400     7.60E+01     79.22732
420     8.00E+01     82.70044
440     8.16E+01     83.93972
460     8.23E+01     84.13270
480     8.22E+01     83.79104
500     8.19E+01     83.23615
520     8.14E+01     82.48051
540     8.09E+01     81.84280
560     8.04E+01     81.11895
580     7.95E+01     80.29645
600     7.85E+01     79.50192
620     7.73E+01     78.69764
640     7.60E+01     77.90238
660     7.42E+01     76.93177
680     7.20E+01     75.69349
700     6.95E+01     74.25721
720     6.68E+01     72.55275
740     6.40E+01     70.64830
760     6.03E+01     68.24830
780     5.64E+01     65.43616
800     5.13E+01     61.59652
820     4.62E+01     57.44285
840     4.09E+01     52.71875
860     3.59E+01     48.16239
880     3.04E+01     42.84361
900     2.56E+01     37.81072
920     2.05E+01     32.26537
940     1.60E+01     27.02478
960     1.20E+01     22.18833
980     8.18E+00     17.15273
1000    5.14E+00     12.87508
1010    3.77E+00     10.77495
1020    2.60E+00     8.699594
1030    1.68E+00     6.828517
