#Wavelength[nm] Reflectance[%]
# Reflectance curve for protected gold mirrors
# Source: https://www.lambda.cc/protected-enhanced-metallic-coatings-pal-eal-pag-eag-pau-eau/
220.0   27.5
240.0   31.6
260.0   35.6
280.0   37.8
300.0   37.7
315.0   37.3
320.0   37.1
340.0   36.1
360.0   36.3
380.0   37.8
400.0   38.7
450.0   38.7
500.0   47.7
550.0   81.7
600.0   91.6
650.0   95.5
700.0   97.0
850.0   98.2
900.0   98.4
950.0   98.5
1000.0  98.6
1500.0  99.0
3000.0  99.3
5000.0  99.4
6000.0  99.4
7000.0  99.4
8000.0  99.4
10000.0 99.4
15000.0 99.4
20000.0 99.4
