ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1264535714,Unique measurement (observation) ID
OPTICID,ADNP-BU-001,Optic Identifier
MEASTSEC,1264535714,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2010-01-26,UTC measurement date (date -u +%F)
MEASTIME,19:55:14 UTC,UTC measurement time (date -u +%T)
OBSERVER,Joseph Tufts,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1300.0,[nm] Measurement start wavelength
MEASSTOP,200.0,[nm] Measurement end wavelength
MEASINVL,0.2,[nm] Measurement sampling interval
MEASSBW,0.2,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,120.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,415.200,[nm] Wavelength of peak signal
TPEAK,9.887305e-01,[ul] Peak transmission
LFWHM,922.339,[nm] Full width half maximum
LBLUE,377.605,[nm] Blue cut-on wavelength
LRED,1299.944,[nm] Red cut-off wavelength
LCENTER,838.774,[nm] Band center (Red+Blue)/2
LAVG,1137.647,[nm] Flux integrated band center
TAVG,1.383085e-01,[ul] Average transmission in bandpass
TBLULEAK,1.566875e-02,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,5.614193e-01,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
200.000,2.100000e-10,1.088890e-06
200.200,3.977000e-06,1.584250e-06
200.400,2.077500e-06,2.076370e-06
200.600,1.000000e-10,2.507870e-06
200.800,1.000000e-10,2.834990e-06
201.000,4.197040e-06,3.040490e-06
201.200,1.000000e-10,3.139680e-06
201.400,2.049480e-06,3.173700e-06
201.600,2.396240e-06,3.196540e-06
201.800,4.956170e-06,3.255170e-06
202.000,3.085430e-06,3.371380e-06
202.200,2.857200e-07,3.531900e-06
202.400,1.000000e-10,3.691590e-06
202.600,6.855380e-06,3.793360e-06
202.800,1.000000e-10,3.791630e-06
203.000,1.000000e-10,3.675100e-06
203.200,2.791900e-06,3.476680e-06
203.400,1.000000e-10,3.265610e-06
203.600,1.000000e-10,3.124250e-06
203.800,1.175170e-06,3.112870e-06
204.000,4.004910e-06,3.247470e-06
204.200,1.000000e-10,3.488590e-06
204.400,1.000000e-10,3.753450e-06
204.600,4.211160e-06,3.943720e-06
204.800,1.000000e-10,3.979250e-06
205.000,6.098450e-06,3.823990e-06
205.200,2.451200e-06,3.495320e-06
205.400,1.000000e-10,3.051040e-06
205.600,1.151100e-06,2.566480e-06
205.800,1.000000e-10,2.112360e-06
206.000,1.235970e-06,1.737150e-06
206.200,2.551800e-06,1.461220e-06
206.400,2.801300e-06,1.284740e-06
206.600,8.639000e-08,1.199010e-06
206.800,1.000000e-10,1.195930e-06
207.000,1.000000e-10,1.269310e-06
207.200,1.000000e-10,1.410610e-06
207.400,1.000000e-10,1.603980e-06
207.600,2.160030e-06,1.820760e-06
207.800,2.383320e-06,2.022430e-06
208.000,2.674830e-06,2.168440e-06
208.200,1.000000e-10,2.227420e-06
208.400,1.000000e-10,2.185940e-06
208.600,1.000000e-10,2.050200e-06
208.800,1.000000e-10,1.845520e-06
209.000,1.539260e-06,1.607730e-06
209.200,1.124370e-06,1.373330e-06
209.400,4.116900e-07,1.170410e-06
209.600,1.000000e-10,1.013950e-06
209.800,1.000000e-10,9.053500e-07
210.000,1.000000e-10,8.352300e-07
210.200,1.342770e-06,7.911200e-07
210.400,1.000000e-10,7.614700e-07
210.600,1.000000e-10,7.402700e-07
210.800,1.684700e-07,7.259400e-07
211.000,1.000000e-10,7.190000e-07
211.200,1.000000e-10,7.209000e-07
211.400,1.000000e-10,7.342400e-07
211.600,1.383420e-06,7.642200e-07
211.800,1.120440e-06,8.189800e-07
212.000,5.937600e-07,9.076400e-07
212.200,1.000000e-10,1.035920e-06
212.400,3.457100e-07,1.201240e-06
212.600,1.114480e-06,1.393440e-06
212.800,1.000000e-10,1.595010e-06
213.000,4.201010e-06,1.789120e-06
213.200,1.560090e-06,1.964810e-06
213.400,7.418800e-07,2.119500e-06
213.600,1.000000e-10,2.255770e-06
213.800,1.000000e-10,2.374690e-06
214.000,3.214320e-06,2.470230e-06
214.200,1.000000e-10,2.526920e-06
214.400,1.000000e-10,2.526210e-06
214.600,2.334300e-06,2.455860e-06
214.800,1.000000e-10,2.317880e-06
215.000,3.069770e-06,2.132030e-06
215.200,9.656000e-08,1.931090e-06
215.400,1.613440e-06,1.750390e-06
215.600,8.514000e-07,1.616230e-06
215.800,1.644100e-06,1.537620e-06
216.000,1.000000e-10,1.505200e-06
216.200,2.027540e-06,1.496930e-06
216.400,1.524780e-06,1.487250e-06
216.600,8.960300e-07,1.453590e-06
216.800,2.020190e-06,1.383710e-06
217.000,1.000000e-10,1.276430e-06
217.200,4.984300e-07,1.139070e-06
217.400,1.039500e-06,9.841800e-07
217.600,1.000000e-10,8.258400e-07
217.800,7.864100e-07,6.771300e-07
218.000,1.000000e-10,5.502400e-07
218.200,1.796900e-07,4.536200e-07
218.400,1.653000e-08,3.933100e-07
218.600,1.000000e-10,3.701500e-07
218.800,1.000000e-10,3.826800e-07
219.000,7.680800e-07,4.263900e-07
219.200,1.030610e-06,4.957100e-07
219.400,7.060000e-08,5.852900e-07
219.600,1.000000e-10,6.893800e-07
219.800,1.000000e-10,8.011600e-07
220.000,1.000000e-10,9.132800e-07
220.200,1.000000e-10,1.019010e-06
220.400,1.795470e-06,1.112890e-06
220.600,1.648400e-07,1.191770e-06
220.800,2.093900e-06,1.256210e-06
221.000,6.562900e-07,1.309530e-06
221.200,1.000000e-10,1.356110e-06
221.400,1.720150e-06,1.398580e-06
221.600,1.000000e-10,1.435410e-06
221.800,1.804230e-06,1.460270e-06
222.000,3.361800e-07,1.463560e-06
222.200,1.000000e-10,1.436300e-06
222.400,2.248220e-06,1.374090e-06
222.600,1.000000e-10,1.281400e-06
222.800,1.406430e-06,1.172110e-06
223.000,1.341200e-07,1.067120e-06
223.200,1.000000e-10,9.865200e-07
223.400,1.000000e-10,9.425800e-07
223.600,1.000000e-10,9.356700e-07
223.800,1.163270e-06,9.534300e-07
224.000,1.000000e-10,9.754200e-07
224.200,1.629980e-06,9.843500e-07
224.400,1.000000e-10,9.694900e-07
224.600,1.000000e-10,9.339900e-07
224.800,7.379000e-08,8.909700e-07
225.000,1.129290e-06,8.567200e-07
225.200,1.060530e-06,8.439800e-07
225.400,4.560300e-07,8.568000e-07
225.600,3.230600e-07,8.933700e-07
225.800,1.994340e-06,9.496900e-07
226.000,2.032860e-06,1.022540e-06
226.200,4.827200e-07,1.111440e-06
226.400,1.000000e-10,1.215230e-06
226.600,1.000000e-10,1.328040e-06
226.800,7.170500e-07,1.435100e-06
227.000,3.763480e-06,1.513840e-06
227.200,1.788850e-06,1.540500e-06
227.400,1.000000e-10,1.499090e-06
227.600,1.000000e-10,1.389120e-06
227.800,9.204300e-07,1.228210e-06
228.000,1.183410e-06,1.048850e-06
228.200,3.032600e-07,8.899300e-07
228.400,8.507000e-08,7.871900e-07
228.600,1.187920e-06,7.637800e-07
228.800,1.000000e-10,8.248100e-07
229.000,1.000000e-10,9.568700e-07
229.200,5.785600e-07,1.132090e-06
229.400,1.000000e-10,1.313320e-06
229.600,2.310770e-06,1.461080e-06
229.800,1.000000e-10,1.542740e-06
230.000,1.000000e-10,1.538820e-06
230.200,1.000000e-10,1.446720e-06
230.400,1.115320e-06,1.282470e-06
230.600,8.306200e-07,1.074110e-06
230.800,1.000000e-10,8.562200e-07
231.000,1.000000e-10,6.604800e-07
231.200,1.880200e-07,5.087800e-07
231.400,1.000000e-10,4.096000e-07
231.600,1.000000e-10,3.577500e-07
231.800,1.000000e-10,3.387700e-07
232.000,4.878600e-07,3.364400e-07
232.200,7.811000e-07,3.381900e-07
232.400,1.000000e-10,3.395900e-07
232.600,3.961000e-08,3.453500e-07
232.800,1.000000e-10,3.669700e-07
233.000,4.750000e-07,4.174000e-07
233.200,1.000000e-10,5.046900e-07
233.400,2.497000e-07,6.275800e-07
233.600,1.068720e-06,7.732700e-07
233.800,1.000000e-10,9.202200e-07
234.000,1.000000e-10,1.042880e-06
234.200,1.282500e-06,1.118380e-06
234.400,1.679840e-06,1.132920e-06
234.600,8.863900e-07,1.085440e-06
234.800,1.000000e-10,9.882200e-07
235.000,8.097800e-07,8.631900e-07
235.200,1.000000e-10,7.367200e-07
235.400,1.000000e-10,6.322800e-07
235.600,1.000000e-10,5.654000e-07
235.800,1.049500e-07,5.411000e-07
236.000,4.591100e-07,5.553800e-07
236.200,1.505560e-06,5.994100e-07
236.400,8.912100e-07,6.629300e-07
236.600,1.000000e-10,7.372000e-07
236.800,1.000000e-10,8.152600e-07
237.000,3.435200e-07,8.912800e-07
237.200,1.000000e-10,9.596200e-07
237.400,1.000000e-10,1.015910e-06
237.600,2.068340e-06,1.059470e-06
237.800,9.818700e-07,1.095630e-06
238.000,1.000000e-10,1.134540e-06
238.200,6.945400e-07,1.187380e-06
238.400,1.000000e-10,1.259700e-06
238.600,1.000000e-10,1.345670e-06
238.800,1.345120e-06,1.427050e-06
239.000,2.436270e-06,1.478140e-06
239.200,1.000000e-10,1.475470e-06
239.400,1.699690e-06,1.408240e-06
239.600,1.000000e-10,1.283890e-06
239.800,5.572200e-07,1.126560e-06
240.000,3.534800e-07,9.688100e-07
240.200,1.000000e-10,8.404300e-07
240.400,7.001100e-07,7.589800e-07
240.600,1.000000e-10,7.264900e-07
240.800,9.939200e-07,7.317300e-07
241.000,1.000000e-10,7.572700e-07
241.200,1.000000e-10,7.860200e-07
241.400,1.000000e-10,8.070900e-07
241.600,1.000000e-10,8.163500e-07
241.800,1.000000e-10,8.146700e-07
242.000,5.940700e-07,8.052700e-07
242.200,1.312580e-06,7.904600e-07
242.400,5.758400e-07,7.733300e-07
242.600,9.501000e-07,7.561800e-07
242.800,1.000000e-10,7.414100e-07
243.000,1.000000e-10,7.312500e-07
243.200,3.590400e-07,7.269400e-07
243.400,1.000000e-10,7.285100e-07
243.600,1.000000e-10,7.354800e-07
243.800,1.290580e-06,7.486700e-07
244.000,7.770500e-07,7.705300e-07
244.200,1.000000e-10,8.041900e-07
244.400,1.000000e-10,8.525000e-07
244.600,2.993400e-07,9.133500e-07
244.800,1.928260e-06,9.771500e-07
245.000,5.779300e-07,1.029660e-06
245.200,1.441340e-06,1.055740e-06
245.400,1.584170e-06,1.046140e-06
245.600,1.000000e-10,1.004010e-06
245.800,8.493400e-07,9.454800e-07
246.000,1.000000e-10,8.961500e-07
246.200,1.000000e-10,8.821900e-07
246.400,5.195000e-08,9.202500e-07
246.600,1.000000e-10,1.011860e-06
246.800,2.421710e-06,1.142030e-06
247.000,6.297800e-07,1.283790e-06
247.200,1.000000e-10,1.406410e-06
247.400,2.544750e-06,1.483360e-06
247.600,7.593700e-07,1.498220e-06
247.800,1.000000e-10,1.447790e-06
248.000,1.756200e-06,1.340520e-06
248.200,1.000000e-10,1.195390e-06
248.400,1.000000e-10,1.036670e-06
248.600,4.884200e-07,8.910700e-07
248.800,3.503500e-07,7.830100e-07
249.000,1.100710e-06,7.295000e-07
249.200,2.313500e-07,7.362100e-07
249.400,1.000000e-10,7.952000e-07
249.600,1.000000e-10,8.862200e-07
249.800,1.000000e-10,9.820400e-07
250.000,1.000000e-10,1.057060e-06
250.200,1.891220e-06,1.092540e-06
250.400,7.294100e-07,1.080760e-06
250.600,9.257400e-07,1.025590e-06
250.800,3.148200e-07,9.382800e-07
251.000,3.490100e-07,8.314200e-07
251.200,1.235770e-06,7.175900e-07
251.400,1.000000e-10,6.084900e-07
251.600,7.552300e-07,5.159800e-07
251.800,9.799000e-08,4.527900e-07
252.000,3.945000e-08,4.306800e-07
252.200,2.275900e-07,4.566200e-07
252.400,1.000000e-10,5.288800e-07
252.600,6.358000e-08,6.327600e-07
252.800,2.338720e-06,7.450200e-07
253.000,1.064490e-06,8.406300e-07
253.200,1.000000e-10,9.010600e-07
253.400,1.000000e-10,9.213400e-07
253.600,8.445500e-07,9.118500e-07
