ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1264536392,Unique measurement (observation) ID
OPTICID,ADNP-VX-001,Optic Identifier
MEASTSEC,1264536392,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2010-01-26,UTC measurement date (date -u +%F)
MEASTIME,20:06:32 UTC,UTC measurement time (date -u +%T)
OBSERVER,Joseph Tufts,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1300.0,[nm] Measurement start wavelength
MEASSTOP,200.0,[nm] Measurement end wavelength
MEASINVL,0.2,[nm] Measurement sampling interval
MEASSBW,0.2,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,120.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,521.600,[nm] Wavelength of peak signal
TPEAK,9.827363e-01,[ul] Peak transmission
LFWHM,809.001,[nm] Full width half maximum
LBLUE,490.785,[nm] Blue cut-on wavelength
LRED,1299.786,[nm] Red cut-off wavelength
LCENTER,895.285,[nm] Band center (Red+Blue)/2
LAVG,1165.512,[nm] Flux integrated band center
TAVG,8.076343e-01,[ul] Average transmission in bandpass
TBLULEAK,1.720240e-02,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,6.063240e-01,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
200.000,2.100000e-10,1.713770e-06
200.200,1.147138e-05,2.105890e-06
200.400,4.529700e-07,2.377620e-06
200.600,1.000000e-10,2.510880e-06
200.800,8.168000e-07,2.523360e-06
201.000,3.441350e-06,2.459470e-06
201.200,3.944840e-06,2.374300e-06
201.400,5.050700e-07,2.315760e-06
201.600,1.000000e-10,2.312470e-06
