ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1375196599,Unique measurement (observation) ID
OPTICID,C25125_125_673_9719,Optic Identifier
MEASTSEC,1375196599,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2013-07-30,UTC measurement date (date -u +%F)
MEASTIME,15:03:19 UTC,UTC measurement time (date -u +%T)
OBSERVER,jrt,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1225.0,[nm] Measurement start wavelength
MEASSTOP,275.0,[nm] Measurement end wavelength
MEASINVL,1.0,[nm] Measurement sampling interval
MEASSBW,2.5,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,600.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,515.000,[nm] Wavelength of peak signal
TPEAK,8.627312e-01,[ul] Peak transmission
LFWHM,12.711,[nm] Full width half maximum
LBLUE,509.024,[nm] Blue cut-on wavelength
LRED,521.735,[nm] Red cut-off wavelength
LCENTER,515.380,[nm] Band center (Red+Blue)/2
LAVG,514.888,[nm] Flux integrated band center
TAVG,7.254955e-01,[ul] Average transmission in bandpass
TBLULEAK,5.647551e-02,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,9.268196e-02,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
275.000,2.822490e-06,1.316350e-06
276.000,1.000000e-10,1.622120e-06
277.000,2.878430e-06,1.841610e-06
278.000,1.000000e-10,1.960340e-06
279.000,1.192790e-06,1.991050e-06
280.000,1.822920e-06,1.965220e-06
281.000,1.000000e-10,1.919580e-06
282.000,8.600200e-07,1.881290e-06
283.000,2.596920e-06,1.859430e-06
284.000,1.000000e-10,1.846210e-06
285.000,1.000000e-10,1.825910e-06
286.000,1.000000e-10,1.786490e-06
287.000,1.666900e-06,1.727410e-06
288.000,1.343180e-06,1.660680e-06
289.000,1.000000e-10,1.603550e-06
290.000,1.223000e-06,1.568210e-06
291.000,1.000000e-10,1.553590e-06
292.000,1.190100e-06,1.545310e-06
293.000,2.675600e-06,1.519790e-06
294.000,1.000000e-10,1.454650e-06
295.000,1.000000e-10,1.337910e-06
296.000,1.000000e-10,1.172970e-06
297.000,2.365000e-07,9.779500e-07
298.000,2.350200e-07,7.788700e-07
299.000,6.583000e-07,6.019000e-07
300.000,1.061260e-06,4.683900e-07
301.000,1.938000e-07,3.901800e-07
302.000,1.000000e-10,3.696500e-07
303.000,4.337000e-08,4.013600e-07
304.000,4.768100e-07,4.728700e-07
305.000,1.000000e-10,5.669200e-07
306.000,1.000000e-10,6.630100e-07
307.000,1.062080e-06,7.400600e-07
308.000,1.000000e-10,7.803700e-07
309.000,7.825200e-07,7.738700e-07
310.000,1.000000e-10,7.223400e-07
311.000,1.000000e-10,6.381100e-07
312.000,6.653900e-07,5.411700e-07
313.000,3.212000e-08,4.523300e-07
314.000,1.000000e-10,3.877200e-07
315.000,1.000000e-10,3.536000e-07
316.000,8.191000e-08,3.464600e-07
317.000,1.181640e-06,3.576800e-07
318.000,6.831700e-07,3.801300e-07
319.000,1.000000e-10,4.136600e-07
320.000,1.000000e-10,4.656900e-07
321.000,1.000000e-10,5.457600e-07
322.000,1.000000e-10,6.587600e-07
323.000,4.799000e-08,7.969500e-07
324.000,1.000000e-10,9.395400e-07
325.000,1.000000e-10,1.059200e-06
326.000,2.930070e-06,1.134270e-06
327.000,9.918000e-07,1.159820e-06
328.000,1.000000e-10,1.151440e-06
329.000,1.000000e-10,1.139080e-06
330.000,1.000000e-10,1.153120e-06
331.000,2.112300e-07,1.210330e-06
332.000,1.000000e-10,1.305470e-06
333.000,1.000000e-10,1.416340e-06
334.000,3.554980e-06,1.514850e-06
335.000,1.335510e-06,1.582100e-06
336.000,1.152590e-06,1.618900e-06
337.000,8.437600e-07,1.645300e-06
338.000,1.367320e-06,1.690610e-06
339.000,1.000000e-10,1.778190e-06
340.000,1.000000e-10,1.912260e-06
341.000,1.000000e-10,2.076610e-06
342.000,1.000000e-10,2.239670e-06
343.000,1.000000e-10,2.367510e-06
344.000,1.000000e-10,2.435290e-06
345.000,3.361140e-06,2.436050e-06
346.000,6.789000e-07,2.379590e-06
347.000,1.982380e-06,2.284980e-06
348.000,1.000000e-10,2.171340e-06
349.000,1.000000e-10,2.051740e-06
350.000,2.306350e-06,1.931430e-06
351.000,1.605900e-06,1.810920e-06
352.000,1.592850e-06,1.689140e-06
353.000,2.413430e-06,1.568040e-06
354.000,2.606100e-07,1.452700e-06
355.000,1.000000e-10,1.347030e-06
356.000,1.000000e-10,1.252090e-06
357.000,1.821930e-06,1.164160e-06
358.000,1.000000e-10,1.075550e-06
359.000,8.125300e-07,9.801200e-07
360.000,1.000000e-10,8.781900e-07
361.000,1.000000e-10,7.799800e-07
362.000,1.000000e-10,7.041700e-07
363.000,1.000000e-10,6.725000e-07
364.000,1.000000e-10,7.028100e-07
365.000,1.000000e-10,7.991500e-07
366.000,1.000000e-10,9.487200e-07
367.000,4.427800e-07,1.122680e-06
368.000,3.082220e-06,1.282600e-06
369.000,1.795980e-06,1.393680e-06
370.000,1.515440e-06,1.436130e-06
371.000,2.102870e-06,1.409930e-06
372.000,7.598200e-07,1.335370e-06
373.000,4.099000e-07,1.244860e-06
374.000,5.154700e-07,1.170770e-06
375.000,1.717000e-06,1.134760e-06
376.000,6.788600e-07,1.143230e-06
377.000,1.000000e-10,1.188460e-06
378.000,2.367640e-06,1.257560e-06
379.000,8.136300e-07,1.338000e-06
380.000,9.180200e-07,1.425450e-06
381.000,2.195330e-06,1.522360e-06
382.000,1.419010e-06,1.634300e-06
383.000,1.269860e-06,1.761710e-06
384.000,1.000000e-10,1.896390e-06
385.000,2.387080e-06,2.023310e-06
386.000,2.356800e-06,2.121020e-06
387.000,2.799930e-06,2.170430e-06
388.000,2.375400e-06,2.161360e-06
389.000,1.603660e-06,2.094660e-06
390.000,2.182630e-06,1.982320e-06
391.000,4.509400e-07,1.843770e-06
392.000,3.125140e-06,1.701280e-06
393.000,1.100750e-06,1.574320e-06
394.000,1.315500e-06,1.477270e-06
395.000,4.407700e-07,1.417180e-06
396.000,2.274740e-06,1.392500e-06
397.000,1.648850e-06,1.394420e-06
398.000,2.590200e-07,1.408720e-06
399.000,1.937330e-06,1.417520e-06
400.000,1.000000e-10,1.405090e-06
401.000,1.000000e-10,1.362170e-06
402.000,1.424340e-06,1.290050e-06
403.000,1.000000e-10,1.199710e-06
404.000,9.171700e-07,1.108190e-06
405.000,5.362700e-07,1.031980e-06
406.000,2.643200e-07,9.814400e-07
407.000,9.134000e-07,9.553200e-07
408.000,1.808770e-06,9.428500e-07
409.000,1.000000e-10,9.312400e-07
410.000,1.000000e-10,9.092000e-07
411.000,5.550800e-07,8.741500e-07
412.000,7.077100e-07,8.334100e-07
413.000,3.281000e-07,8.037300e-07
414.000,1.213190e-06,8.047300e-07
415.000,6.497700e-07,8.523100e-07
416.000,1.160800e-06,9.544200e-07
417.000,1.345590e-06,1.106150e-06
418.000,1.000000e-10,1.290700e-06
419.000,4.781000e-08,1.481640e-06
420.000,3.859840e-06,1.649490e-06
421.000,1.000000e-10,1.768800e-06
422.000,1.626980e-06,1.824740e-06
423.000,1.270950e-06,1.815620e-06
424.000,1.000000e-10,1.753110e-06
425.000,1.000000e-10,1.658140e-06
426.000,1.672500e-06,1.555120e-06
427.000,1.000000e-10,1.466210e-06
428.000,1.000000e-10,1.405780e-06
429.000,1.000000e-10,1.377820e-06
430.000,1.098190e-06,1.374610e-06
431.000,5.156800e-07,1.381650e-06
432.000,2.038270e-06,1.380210e-06
433.000,2.301240e-06,1.354780e-06
434.000,1.857590e-06,1.298160e-06
435.000,4.634200e-07,1.215790e-06
436.000,1.000000e-10,1.125130e-06
437.000,8.783200e-07,1.052920e-06
438.000,1.485060e-06,1.023320e-06
439.000,1.000000e-10,1.050130e-06
440.000,8.155000e-08,1.130990e-06
441.000,1.017140e-06,1.247360e-06
442.000,1.000000e-10,1.369600e-06
443.000,3.394950e-06,1.465570e-06
444.000,8.706300e-07,1.509220e-06
445.000,1.000000e-10,1.486830e-06
446.000,7.037800e-07,1.397990e-06
447.000,2.078760e-06,1.254720e-06
448.000,1.000000e-10,1.077270e-06
449.000,9.091500e-07,8.908600e-07
450.000,5.049000e-08,7.226400e-07
451.000,1.000000e-10,5.984900e-07
452.000,2.754600e-07,5.402600e-07
453.000,9.250100e-07,5.650600e-07
454.000,8.495700e-07,6.820300e-07
455.000,8.269300e-07,8.876100e-07
456.000,9.203400e-07,1.164170e-06
457.000,1.134150e-06,1.480880e-06
458.000,1.694950e-06,1.798990e-06
459.000,3.456610e-06,2.078730e-06
460.000,1.000000e-10,2.287940e-06
461.000,1.000000e-10,2.406840e-06
462.000,2.308470e-06,2.432600e-06
463.000,1.056300e-06,2.377380e-06
464.000,1.000000e-10,2.262030e-06
465.000,3.251040e-06,2.109610e-06
466.000,1.000000e-10,1.941720e-06
467.000,4.644700e-07,1.774890e-06
468.000,2.176450e-06,1.620010e-06
