ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1375197348,Unique measurement (observation) ID
OPTICID,CN_870_50_477_0220,Optic Identifier
MEASTSEC,1375197348,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2013-07-30,UTC measurement date (date -u +%F)
MEASTIME,15:15:48 UTC,UTC measurement time (date -u +%T)
OBSERVER,slad,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1225.0,[nm] Measurement start wavelength
MEASSTOP,275.0,[nm] Measurement end wavelength
MEASINVL,1.0,[nm] Measurement sampling interval
MEASSBW,2.5,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,600.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,388.000,[nm] Wavelength of peak signal
TPEAK,2.898244e-01,[ul] Peak transmission
LFWHM,7.847,[nm] Full width half maximum
LBLUE,383.815,[nm] Blue cut-on wavelength
LRED,391.662,[nm] Red cut-off wavelength
LCENTER,387.739,[nm] Band center (Red+Blue)/2
LAVG,387.263,[nm] Flux integrated band center
TAVG,2.444038e-01,[ul] Average transmission in bandpass
TBLULEAK,5.953514e-02,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,9.505181e-02,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
275.000,1.391150e-06,3.197000e-07
276.000,6.820400e-07,3.693200e-07
277.000,6.724000e-08,4.065500e-07
278.000,1.000000e-10,4.369600e-07
279.000,1.000000e-10,4.674000e-07
280.000,3.271200e-07,5.010000e-07
281.000,8.559000e-07,5.353600e-07
282.000,2.165200e-07,5.632700e-07
283.000,1.564630e-06,5.761200e-07
284.000,5.484400e-07,5.688800e-07
285.000,1.000000e-10,5.448200e-07
286.000,2.587200e-07,5.149700e-07
287.000,1.000000e-10,4.957300e-07
288.000,1.000000e-10,5.023400e-07
289.000,1.000000e-10,5.428100e-07
290.000,1.000000e-10,6.142400e-07
291.000,1.000000e-10,7.031500e-07
292.000,7.106100e-07,7.901800e-07
293.000,1.797440e-06,8.552800e-07
294.000,1.000000e-10,8.838900e-07
295.000,3.948600e-07,8.712700e-07
296.000,1.000000e-10,8.227900e-07
297.000,1.022940e-06,7.517400e-07
298.000,2.456800e-07,6.750100e-07
299.000,9.766600e-07,6.080900e-07
300.000,4.257000e-08,5.617500e-07
301.000,1.000000e-10,5.401900e-07
302.000,1.000000e-10,5.424400e-07
303.000,9.554000e-07,5.642500e-07
304.000,1.000000e-10,6.009400e-07
305.000,1.000000e-10,6.479300e-07
306.000,3.542100e-07,7.021500e-07
307.000,1.000000e-10,7.614100e-07
308.000,1.000000e-10,8.233100e-07
309.000,1.345420e-06,8.846900e-07
310.000,1.000000e-10,9.425600e-07
311.000,1.000000e-10,9.942300e-07
312.000,4.081300e-07,1.039020e-06
313.000,1.858820e-06,1.079370e-06
314.000,1.000000e-10,1.120130e-06
315.000,1.000000e-10,1.165910e-06
316.000,1.000000e-10,1.219200e-06
317.000,3.713400e-07,1.277010e-06
318.000,2.041270e-06,1.331270e-06
319.000,1.000000e-10,1.370560e-06
320.000,1.000000e-10,1.384350e-06
321.000,1.000000e-10,1.364150e-06
322.000,1.000000e-10,1.308720e-06
323.000,9.617500e-07,1.222960e-06
324.000,1.000000e-10,1.116120e-06
325.000,1.000000e-10,9.995500e-07
326.000,9.447700e-07,8.851900e-07
327.000,1.000000e-10,7.844200e-07
328.000,1.000000e-10,7.075400e-07
329.000,1.000000e-10,6.623000e-07
330.000,1.000000e-10,6.522700e-07
331.000,1.000000e-10,6.732600e-07
332.000,1.000000e-10,7.127800e-07
333.000,1.493800e-07,7.520800e-07
334.000,3.244330e-06,7.712700e-07
335.000,6.794500e-07,7.577300e-07
336.000,2.084300e-07,7.107800e-07
337.000,1.000000e-10,6.442700e-07
338.000,1.000000e-10,5.837400e-07
339.000,1.000000e-10,5.601800e-07
340.000,1.000000e-10,5.987100e-07
341.000,1.000000e-10,7.125900e-07
342.000,7.508200e-07,8.970200e-07
343.000,1.000000e-10,1.128440e-06
344.000,1.000000e-10,1.368980e-06
345.000,1.800330e-06,1.575850e-06
346.000,1.000000e-10,1.713010e-06
347.000,2.653420e-06,1.762080e-06
348.000,1.000000e-10,1.729340e-06
349.000,1.000000e-10,1.644040e-06
350.000,9.720400e-07,1.550580e-06
351.000,1.000000e-10,1.495100e-06
352.000,6.289000e-08,1.506960e-06
353.000,3.007170e-06,1.589910e-06
354.000,1.667880e-06,1.720200e-06
355.000,1.000000e-10,1.854310e-06
356.000,1.000000e-10,1.943450e-06
357.000,2.648160e-06,1.949140e-06
358.000,1.000000e-10,1.852250e-06
359.000,1.000000e-10,1.658160e-06
360.000,1.000000e-10,1.392590e-06
361.000,4.317500e-07,1.093860e-06
362.000,1.263240e-06,8.039700e-07
363.000,3.421800e-07,5.637100e-07
364.000,1.000000e-10,4.115000e-07
365.000,1.000000e-10,3.771700e-07
366.000,1.000000e-10,4.816800e-07
367.000,1.058010e-06,7.567100e-07
368.000,1.409130e-06,1.419750e-06
369.000,2.229230e-06,2.452380e-06
370.000,4.086560e-06,-4.368930e-06
371.000,8.441380e-06,-6.052501e-05
372.000,8.655490e-06,-2.787893e-04
373.000,9.685420e-06,-8.693974e-04
374.000,1.222787e-05,-2.116480e-03
375.000,1.926786e-05,-4.258146e-03
376.000,2.951451e-05,-7.240458e-03
377.000,4.822443e-05,-1.037170e-02
378.000,1.029751e-04,-1.200796e-02
379.000,2.578698e-04,-9.461706e-03
380.000,8.047533e-04,6.695184e-04
381.000,2.979707e-03,2.165835e-02
382.000,1.239267e-02,5.540427e-02
383.000,4.625639e-02,1.011708e-01
384.000,1.247906e-01,1.548367e-01
385.000,2.423074e-01,2.091293e-01
386.000,3.575596e-01,2.549965e-01
387.000,4.221110e-01,2.838264e-01
388.000,4.063384e-01,2.898244e-01
389.000,3.139281e-01,2.717148e-01
390.000,1.806697e-01,2.331343e-01
391.000,7.206459e-02,1.815657e-01
392.000,1.832365e-02,1.262057e-01
393.000,3.906195e-03,7.553993e-02
394.000,1.123844e-03,3.543979e-02
395.000,4.297319e-04,8.316166e-03
396.000,2.033337e-04,-6.590079e-03
397.000,1.123725e-04,-1.211668e-02
398.000,6.974070e-05,-1.183053e-02
399.000,4.817596e-05,-8.916876e-03
400.000,3.202312e-05,-5.575186e-03
401.000,2.285899e-05,-2.926959e-03
402.000,1.607219e-05,-1.265081e-03
403.000,1.099915e-05,-4.234926e-04
404.000,1.073367e-05,-9.242666e-05
405.000,6.919060e-06,-3.514120e-06
406.000,1.951300e-06,6.210690e-06
407.000,4.619260e-06,3.479310e-06
408.000,4.744130e-06,2.535320e-06
409.000,2.420010e-06,2.437940e-06
410.000,1.905530e-06,2.421780e-06
411.000,4.310170e-06,2.401420e-06
412.000,3.593370e-06,2.352890e-06
413.000,1.280660e-06,2.262590e-06
414.000,2.307530e-06,2.130590e-06
415.000,2.207010e-06,1.969870e-06
416.000,9.613200e-07,1.799540e-06
417.000,1.454380e-06,1.635320e-06
418.000,1.958820e-06,1.486450e-06
419.000,8.060600e-07,1.353580e-06
420.000,1.941190e-06,1.233980e-06
421.000,1.000000e-10,1.126770e-06
422.000,6.921800e-07,1.034060e-06
423.000,4.658300e-07,9.616700e-07
424.000,1.000000e-10,9.206100e-07
425.000,9.759900e-07,9.201300e-07
426.000,1.384300e-06,9.623600e-07
427.000,1.253760e-06,1.039630e-06
428.000,4.240800e-07,1.134700e-06
