ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1375197603,Unique measurement (observation) ID
OPTICID,NH2_6630_40_831-9717-1,Optic Identifier
MEASTSEC,1375197603,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2013-07-30,UTC measurement date (date -u +%F)
MEASTIME,15:20:03 UTC,UTC measurement time (date -u +%T)
OBSERVER,slad,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1225.0,[nm] Measurement start wavelength
MEASSTOP,275.0,[nm] Measurement end wavelength
MEASINVL,1.0,[nm] Measurement sampling interval
MEASSBW,2.5,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,600.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,1223.000,[nm] Wavelength of peak signal
TPEAK,4.352103e-01,[ul] Peak transmission
LFWHM,950.000,[nm] Full width half maximum
LBLUE,275.000,[nm] Blue cut-on wavelength
LRED,1225.000,[nm] Red cut-off wavelength
LCENTER,750.000,[nm] Band center (Red+Blue)/2
LAVG,1201.540,[nm] Flux integrated band center
TAVG,3.680987e-01,[ul] Average transmission in bandpass
TBLULEAK,5.554130e-01,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,5.356827e-02,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
275.000,1.227200e-07,1.354000e-07
276.000,1.000000e-10,2.309200e-07
277.000,1.000000e-10,3.484800e-07
278.000,1.000000e-10,4.833400e-07
279.000,1.000000e-10,6.289800e-07
280.000,1.000000e-10,7.781000e-07
281.000,1.000000e-10,9.237400e-07
282.000,1.000000e-10,1.060170e-06
283.000,1.303050e-06,1.183520e-06
284.000,1.000000e-10,1.291930e-06
285.000,1.000000e-10,1.385820e-06
286.000,1.000000e-10,1.467530e-06
287.000,1.000000e-10,1.540990e-06
288.000,1.000000e-10,1.611180e-06
289.000,1.000000e-10,1.682870e-06
290.000,1.000000e-10,1.759110e-06
291.000,1.000000e-10,1.839240e-06
292.000,1.000000e-10,1.917240e-06
293.000,1.000000e-10,1.980940e-06
294.000,1.000000e-10,2.013290e-06
295.000,1.000000e-10,1.996260e-06
296.000,1.000000e-10,1.916480e-06
297.000,2.195700e-06,1.771140e-06
298.000,1.000000e-10,1.571450e-06
299.000,1.000000e-10,1.342030e-06
300.000,1.000000e-10,1.115490e-06
301.000,1.447500e-07,9.239200e-07
302.000,1.000000e-10,7.901500e-07
303.000,1.000000e-10,7.221100e-07
304.000,1.014090e-06,7.121900e-07
305.000,1.000000e-10,7.417900e-07
306.000,1.000000e-10,7.886500e-07
307.000,1.000000e-10,8.341200e-07
308.000,1.000000e-10,8.676000e-07
309.000,1.000000e-10,8.871200e-07
310.000,8.022900e-07,8.967100e-07
311.000,1.000000e-10,9.023200e-07
312.000,1.000000e-10,9.084500e-07
313.000,9.764400e-07,9.165000e-07
314.000,1.000000e-10,9.251700e-07
315.000,1.000000e-10,9.317300e-07
316.000,1.000000e-10,9.337800e-07
317.000,1.000000e-10,9.302100e-07
318.000,1.000000e-10,9.213000e-07
319.000,1.000000e-10,9.084900e-07
320.000,1.000000e-10,8.935200e-07
321.000,1.000000e-10,8.780800e-07
322.000,1.000000e-10,8.625800e-07
323.000,1.000000e-10,8.467800e-07
324.000,1.000000e-10,8.299000e-07
325.000,1.000000e-10,8.110900e-07
326.000,1.000000e-10,7.903400e-07
327.000,1.000000e-10,7.694100e-07
328.000,1.000000e-10,7.526300e-07
329.000,1.000000e-10,7.465500e-07
330.000,1.000000e-10,7.584300e-07
331.000,1.000000e-10,7.933500e-07
332.000,1.000000e-10,8.511400e-07
333.000,1.000000e-10,9.243300e-07
334.000,6.897700e-07,9.984900e-07
335.000,1.761930e-06,1.055150e-06
336.000,1.000000e-10,1.076700e-06
337.000,1.000000e-10,1.051810e-06
338.000,1.000000e-10,9.784600e-07
339.000,5.944300e-07,8.642600e-07
340.000,1.000000e-10,7.233000e-07
341.000,1.000000e-10,5.731400e-07
342.000,1.000000e-10,4.301100e-07
343.000,1.000000e-10,3.073700e-07
344.000,1.000000e-10,2.149300e-07
345.000,1.000000e-10,1.603800e-07
346.000,1.000000e-10,1.488900e-07
347.000,1.410000e-09,1.824500e-07
348.000,1.000000e-10,2.573600e-07
349.000,3.535300e-07,3.626600e-07
350.000,2.779600e-07,4.808100e-07
351.000,1.000000e-10,5.910500e-07
352.000,1.000000e-10,6.752600e-07
353.000,1.757010e-06,7.217600e-07
354.000,1.740000e-08,7.275600e-07
355.000,1.000000e-10,6.978500e-07
356.000,1.000000e-10,6.420400e-07
357.000,1.000000e-10,5.700100e-07
358.000,1.000000e-10,4.899400e-07
359.000,9.212700e-07,4.087700e-07
360.000,1.103300e-07,3.340200e-07
361.000,1.000000e-10,2.750000e-07
362.000,1.000000e-10,2.415500e-07
363.000,4.022000e-08,2.409600e-07
364.000,1.000000e-10,2.736000e-07
365.000,4.710000e-08,3.307300e-07
366.000,1.000000e-10,3.964800e-07
367.000,1.358510e-06,4.520700e-07
368.000,5.908200e-07,4.826500e-07
369.000,3.705200e-07,4.821700e-07
370.000,1.431300e-07,4.549800e-07
371.000,1.000000e-10,4.122900e-07
372.000,1.000000e-10,3.680500e-07
373.000,1.000000e-10,3.336900e-07
374.000,1.000000e-10,3.150200e-07
375.000,4.785800e-07,3.115600e-07
376.000,1.292000e-08,3.186400e-07
377.000,1.000000e-10,3.302900e-07
378.000,6.795300e-07,3.411200e-07
379.000,1.197000e-07,3.483200e-07
380.000,4.606800e-07,3.517100e-07
381.000,1.000000e-10,3.534000e-07
382.000,1.000000e-10,3.567400e-07
383.000,1.000000e-10,3.661200e-07
384.000,2.274100e-07,3.868200e-07
385.000,7.102200e-07,4.229300e-07
386.000,4.779100e-07,4.760700e-07
387.000,2.989600e-07,5.438900e-07
388.000,7.043500e-07,6.190700e-07
389.000,6.586100e-07,6.900700e-07
390.000,3.820500e-07,7.434700e-07
391.000,1.650320e-06,7.680200e-07
392.000,1.000000e-10,7.592500e-07
393.000,1.000000e-10,7.217100e-07
394.000,1.670900e-07,6.690800e-07
395.000,1.000000e-10,6.207200e-07
396.000,6.868800e-07,5.962300e-07
397.000,1.486000e-07,6.108300e-07
