ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1375197100,Unique measurement (observation) ID
OPTICID,OH3085_BW67A_988-0010,Optic Identifier
MEASTSEC,1375197100,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2013-07-30,UTC measurement date (date -u +%F)
MEASTIME,15:11:40 UTC,UTC measurement time (date -u +%T)
OBSERVER,slad,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1225.0,[nm] Measurement start wavelength
MEASSTOP,275.0,[nm] Measurement end wavelength
MEASINVL,1.0,[nm] Measurement sampling interval
MEASSBW,2.5,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,600.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,310.000,[nm] Wavelength of peak signal
TPEAK,2.019167e-01,[ul] Peak transmission
LFWHM,8.526,[nm] Full width half maximum
LBLUE,305.914,[nm] Blue cut-on wavelength
LRED,314.440,[nm] Red cut-off wavelength
LCENTER,310.177,[nm] Band center (Red+Blue)/2
LAVG,309.688,[nm] Flux integrated band center
TAVG,1.723595e-01,[ul] Average transmission in bandpass
TBLULEAK,6.392390e-02,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,1.534178e-01,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
275.000,8.594190e-06,3.918980e-06
276.000,7.134800e-06,5.173320e-06
277.000,7.427510e-06,6.306770e-06
278.000,7.548530e-06,7.209010e-06
279.000,7.779910e-06,7.818330e-06
280.000,9.514740e-06,8.126390e-06
281.000,8.351870e-06,8.175050e-06
282.000,6.218500e-06,8.034520e-06
283.000,9.031880e-06,7.785110e-06
284.000,6.504410e-06,7.496450e-06
285.000,6.121340e-06,7.212010e-06
286.000,6.760690e-06,6.933340e-06
287.000,8.316420e-06,6.599690e-06
288.000,6.966830e-06,6.060020e-06
289.000,5.523990e-06,5.071150e-06
290.000,6.958600e-06,3.191230e-06
291.000,7.923250e-06,-2.599630e-06
292.000,6.868310e-06,-2.793061e-05
293.000,1.001099e-05,-1.181322e-04
294.000,6.962240e-06,-3.621149e-04
295.000,1.142703e-05,-8.876081e-04
296.000,1.380598e-05,-1.822530e-03
297.000,2.723975e-05,-3.208220e-03
298.000,5.886956e-05,-4.859147e-03
299.000,1.304160e-04,-6.196886e-03
300.000,2.900043e-04,-6.128229e-03
301.000,6.778228e-04,-3.062539e-03
302.000,1.774184e-03,4.859890e-03
303.000,5.534288e-03,1.931881e-02
304.000,1.855093e-02,4.121961e-02
305.000,5.181146e-02,7.011501e-02
306.000,1.059682e-01,1.038567e-01
307.000,1.647986e-01,1.386670e-01
308.000,2.098231e-01,1.697096e-01
309.000,2.370473e-01,1.920730e-01
310.000,2.491506e-01,2.019167e-01
311.000,2.378292e-01,1.974420e-01
312.000,1.933036e-01,1.793766e-01
313.000,1.242007e-01,1.508062e-01
314.000,6.027855e-02,1.164018e-01
315.000,2.226625e-02,8.128483e-02
316.000,7.371293e-03,4.988486e-02
317.000,2.760238e-03,2.511775e-02
318.000,1.257153e-03,8.075858e-03
319.000,6.330633e-04,-1.767132e-03
320.000,3.259339e-04,-5.999082e-03
321.000,1.637852e-04,-6.599501e-03
322.000,8.432118e-05,-5.375029e-03
323.000,3.881420e-05,-3.630960e-03
324.000,1.504314e-05,-2.097762e-03
325.000,2.406520e-06,-1.040307e-03
326.000,2.979830e-06,-4.397113e-04
327.000,1.000000e-10,-1.590229e-04
328.000,1.568900e-07,-5.319325e-05
329.000,1.000000e-10,-2.046279e-05
330.000,1.965220e-06,-1.006283e-05
331.000,1.037400e-07,-5.031530e-06
332.000,1.000000e-10,-1.971320e-06
333.000,1.139060e-06,-1.804500e-07
334.000,2.278900e-06,7.871700e-07
335.000,2.018130e-06,1.255780e-06
336.000,1.739920e-06,1.425630e-06
337.000,1.587910e-06,1.416060e-06
338.000,1.000000e-10,1.306000e-06
339.000,1.000000e-10,1.161510e-06
340.000,1.000000e-10,1.038270e-06
341.000,1.000000e-10,9.822400e-07
342.000,2.298100e-07,1.020830e-06
343.000,1.000000e-10,1.157470e-06
344.000,1.000000e-10,1.370310e-06
345.000,2.376290e-06,1.619460e-06
346.000,1.000000e-10,1.862010e-06
347.000,1.000000e-10,2.065150e-06
348.000,1.000000e-10,2.211720e-06
349.000,1.000000e-10,2.305320e-06
350.000,2.463930e-06,2.361960e-06
351.000,8.608000e-07,2.403520e-06
352.000,1.658300e-06,2.447410e-06
353.000,5.078650e-06,2.502540e-06
354.000,2.710130e-06,2.569050e-06
355.000,1.043310e-06,2.639050e-06
356.000,3.151720e-06,2.699610e-06
357.000,2.373170e-06,2.735610e-06
358.000,3.333460e-06,2.732190e-06
359.000,2.618630e-06,2.676580e-06
360.000,2.241360e-06,2.564450e-06
361.000,3.791260e-06,2.402860e-06
362.000,1.329390e-06,2.210910e-06
363.000,2.501170e-06,2.017510e-06
364.000,4.772500e-07,1.852250e-06
365.000,1.352010e-06,1.736390e-06
366.000,1.000000e-10,1.674070e-06
367.000,1.301040e-06,1.654090e-06
368.000,2.900710e-06,1.652950e-06
369.000,2.949260e-06,1.647890e-06
370.000,1.461330e-06,1.624510e-06
371.000,2.558200e-07,1.580370e-06
372.000,1.470360e-06,1.522790e-06
373.000,5.982400e-07,1.465210e-06
374.000,1.000000e-10,1.419440e-06
375.000,3.178810e-06,1.393050e-06
376.000,9.142000e-07,1.386470e-06
377.000,1.000000e-10,1.396630e-06
378.000,1.552500e-07,1.420840e-06
379.000,2.916850e-06,1.456850e-06
380.000,1.553220e-06,1.506520e-06
381.000,2.640290e-06,1.572940e-06
382.000,4.458600e-07,1.660480e-06
383.000,2.097460e-06,1.770740e-06
384.000,5.314000e-07,1.901720e-06
385.000,2.769890e-06,2.046120e-06
386.000,3.380000e-06,2.190820e-06
387.000,2.375200e-06,2.317210e-06
388.000,1.466290e-06,2.404080e-06
389.000,2.811470e-06,2.432680e-06
390.000,2.331400e-06,2.391020e-06
391.000,2.561980e-06,2.277800e-06
392.000,2.750590e-06,2.104870e-06
393.000,1.924070e-06,1.893900e-06
394.000,8.934000e-07,1.672320e-06
395.000,4.570100e-07,1.467160e-06
396.000,1.530750e-06,1.301340e-06
397.000,7.926200e-07,1.188260e-06
398.000,1.833110e-06,1.134910e-06
399.000,1.247470e-06,1.143730e-06
400.000,1.000000e-10,1.215110e-06
401.000,1.000000e-10,1.344250e-06
402.000,1.294840e-06,1.520410e-06
403.000,3.765000e-07,1.720030e-06
404.000,2.435400e-06,1.905680e-06
405.000,1.000000e-10,2.034780e-06
406.000,1.000000e-10,2.071770e-06
407.000,3.374940e-06,2.000140e-06
408.000,1.000000e-10,1.831280e-06
409.000,1.119600e-07,1.602190e-06
410.000,1.000000e-10,1.363370e-06
411.000,8.001100e-07,1.162140e-06
412.000,1.305100e-07,1.028690e-06
413.000,2.167520e-06,9.710100e-07
414.000,2.045070e-06,9.768600e-07
415.000,3.847000e-08,1.024410e-06
416.000,9.486000e-07,1.092710e-06
417.000,2.147570e-06,1.167500e-06
418.000,3.547300e-07,1.241210e-06
419.000,1.000000e-10,1.309630e-06
420.000,1.650700e-06,1.367130e-06
421.000,1.000000e-10,1.406550e-06
422.000,1.839460e-06,1.420350e-06
423.000,1.000000e-10,1.403570e-06
424.000,1.000000e-10,1.356260e-06
425.000,9.151200e-07,1.282210e-06
426.000,4.481500e-07,1.187340e-06
427.000,1.000000e-10,1.078070e-06
428.000,2.039380e-06,9.604600e-07
429.000,4.972500e-07,8.410600e-07
430.000,1.000000e-10,7.309800e-07
431.000,5.870800e-07,6.456600e-07
432.000,2.478500e-07,6.036400e-07
433.000,1.000000e-10,6.215200e-07
434.000,8.594100e-07,7.070500e-07
435.000,3.062900e-07,8.539100e-07
436.000,1.000000e-10,1.042520e-06
437.000,1.000000e-10,1.243460e-06
438.000,2.295120e-06,1.426000e-06
439.000,1.000000e-10,1.567950e-06
440.000,1.000000e-10,1.661630e-06
441.000,1.363280e-06,1.712840e-06
442.000,1.000000e-10,1.737050e-06
443.000,1.822050e-06,1.748240e-06
444.000,1.655780e-06,1.752080e-06
445.000,2.693600e-07,1.743840e-06
446.000,2.358000e-06,1.710680e-06
447.000,3.689400e-06,1.644270e-06
448.000,1.000000e-10,1.547660e-06
449.000,3.616800e-07,1.437800e-06
450.000,3.891000e-07,1.343650e-06
451.000,1.000000e-10,1.295770e-06
452.000,9.085400e-07,1.312460e-06
453.000,1.632990e-06,1.393350e-06
454.000,3.303590e-06,1.518270e-06
455.000,7.870800e-07,1.653390e-06
456.000,1.678520e-06,1.762040e-06
457.000,1.000000e-10,1.815840e-06
458.000,2.134980e-06,1.801720e-06
459.000,3.136010e-06,1.723360e-06
460.000,2.830000e-08,1.597380e-06
461.000,6.736000e-07,1.446530e-06
462.000,2.344710e-06,1.291640e-06
463.000,7.331200e-07,1.149810e-06
464.000,7.844000e-08,1.029630e-06
465.000,1.754890e-06,9.327600e-07
466.000,1.000000e-10,8.564100e-07
467.000,4.512300e-07,7.975900e-07
468.000,5.995400e-07,7.547100e-07
469.000,1.000000e-10,7.276700e-07
470.000,1.000000e-10,7.210600e-07
471.000,1.000000e-10,7.413900e-07
472.000,9.547500e-07,7.924900e-07
473.000,1.000000e-10,8.754900e-07
474.000,5.732500e-07,9.866500e-07
475.000,1.190850e-06,1.117760e-06
476.000,6.050200e-07,1.256620e-06
477.000,3.255640e-06,1.388140e-06
478.000,1.775230e-06,1.496370e-06
479.000,1.035280e-06,1.568710e-06
