# Wavelength [nm]	Transmittance [0..1]
# Transmission for Ohara BSM51Y and 10mm thickness
# From: https://www.ohara-gmbh.com/fileadmin/user_upload/export-data/pdf/product_datasheets/BSM51Y_English_.pdf
285     0
290     0.03
300     0.33
310     0.69
320     0.88
330     0.950
340     0.977
350     0.988
360     0.993
370     0.996
380     0.997
390     0.998
400     0.998
420     0.998
440     0.998
460     0.999
480     0.999
500     0.999
550     0.999
600     0.999
650     0.999
700     0.999
800     0.999
900     0.999
1000    0.997
1200    0.997
1400    0.985
1600    0.992
1800    0.983
2000    0.967
2200    0.89
2400    0.78
