# ThorLabs 400nm longpass cutoff filter
#Wavelength [nm], Transmission[%]
200,0.000301121
201,0.000290997
202,0.000323028
203,0.000231664
204,0.000480488
205,0.000322586
206,0.000480729
207,0.000512665
208,0.000560976
209,0.000500481
210,0.000587944
211,0.000473303
212,0.000321092
213,0.000375611
214,0.000430776
215,0.00044423
216,0.000530536
217,0.000506274
218,0.000246217
219,0.000324084
220,0.000347485
221,0.000490675
222,0.000533779
223,0.000343334
224,0.0002862
225,0.000329051
226,0.000423201
227,0.000566353
228,0.000485142
229,0.0005026
230,0.000417429
231,0.000402851
232,0.000331225
233,0.000478805
234,0.000597602
235,0.000474978
236,0.000256928
237,0.000451781
238,0.000460069
239,0.000495113
240,0.000486045
241,0.000377724
242,0.000261415
243,0.000334798
244,0.000425122
245,0.000478457
246,0.000510374
247,0.000440917
248,0.000322681
249,0.00039846
250,0.000328697
251,0.000479334
252,0.000525024
253,0.000293963
254,0.000214421
255,0.000414107
256,0.000526281
257,0.000431134
258,0.000449687
259,0.000245016
260,0.000258249
261,0.00044245
262,0.000463427
263,0.000374483
264,0.000387879
265,0.000222151
266,0.000294892
267,0.000359354
268,0.00041241
269,0.000432156
270,0.000573701
271,0.000361708
272,0.000291842
273,0.00037816
274,0.000552075
275,0.00040251
276,0.000537293
277,0.000187153
278,0.000233982
279,0.000386853
280,0.000396817
281,0.000401139
282,0.000461949
283,0.000257974
284,0.0002733
285,0.000323482
286,0.000435537
287,0.000382943
288,0.00056369
289,0.000277152
290,0.000206462
291,0.000331061
292,0.000524293
293,0.000444812
294,0.0005555
295,0.000185028
296,0.000217262
297,0.00047809
298,0.000302851
299,0.000356053
300,0.00052333
301,0.000231516
302,0.000181032
303,0.000416089
304,0.000308848
305,0.000343502
306,0.000590353
307,0.000216815
308,0.000179442
309,0.000534935
310,0.000437534
311,0.000339793
312,0.000371078
313,0.000405401
314,0.000446032
315,0.000377497
316,0.000181938
317,0.000280331
318,0.000409927
319,0.000193899
320,0.000220816
321,0.000444675
322,0.000326715
323,0.000233553
324,0.000516834
325,0.000242015
326,0.000314001
327,0.000440028
328,0.000393975
329,0.000256319
330,0.000580323
331,0.000276015
332,0.000431837
333,0.000387845
334,0.00041646
335,0.000277602
336,0.000594873
337,0.000368122
338,0.000393424
339,0.000662264
340,0.000551113
341,0.000384615
342,0.000619799
343,0.000409535
344,0.000335111
345,0.000634805
346,0.00059027
347,0.000413572
348,0.000577919
349,0.000312796
350,0.000341246
351,0.00056118
352,0.000532908
353,0.000442033
354,0.00054941
355,0.000308131
356,0.000290459
357,0.000520714
358,0.000394825
359,0.000444817
360,0.000457184
361,0.000495872
362,0.000222685
363,0.000703254
364,0.000555927
365,0.000478254
366,0.000500964
367,0.000473917
368,0.000297266
369,0.000687415
370,0.000530096
371,0.000499088
372,0.000501798
373,0.00051593
374,0.000295072
375,0.000730009
376,0.000600151
377,0.000530725
378,0.000514636
379,0.000693849
380,0.000469748
381,0.000563722
382,0.000595818
383,0.000463786
384,0.000468216
385,0.000682989
386,0.000460752
387,0.000537451
388,0.000577731
389,0.000423653
390,0.000489099
391,0.000648865
392,0.000472744
393,0.000550296
394,0.000499
395,0.000578
396,0.096717
397,0.211223
398,8.262214
399,52.702924
400,73.427191
401,79.535211
402,83.506311
403,85.495533
404,87.494995
405,89.654602
406,91.663305
407,93.19803
408,94.306813
409,95.140309
410,95.891501
411,96.417753
412,96.612174
413,96.817204
414,97.055345
415,96.918808
416,96.647692
417,96.631291
418,96.585979
419,96.32917
420,96.252228
421,96.151824
422,95.747904
423,95.379502
424,95.326424
425,95.383449
426,95.334575
427,95.108942
428,94.821566
429,94.578229
430,94.365514
431,94.266
432,94.461828
433,94.6959
434,94.718212
435,94.679444
436,94.69796
437,94.765832
438,94.824733
439,94.745482
440,94.65447
441,94.76963
442,94.941227
443,94.927547
444,94.828149
445,94.759481
446,94.798642
447,94.979038
448,95.110083
449,95.109329
