# 495 nm Longpass Colored Glass Filter (GG495)
# Data from Item # FGL495, FGL495S & FGL495M at ThorLabs
# Measurements Made at Normal Incidence
Wavelength [nm],Transmission [%]
200,0.004609
205,0.004537
210,0.002461
215,0.002846
220,0.002192
225,0.003257
230,0.004628
235,0.002826
240,0.002173
245,0.002599
250,0.003727
255,0.002228
260,0.002644
265,0.001429
270,0.001946
275,0.002775
280,0.002884
285,0.001444
290,0.000517
295,0.001863
300,0.00197
305,0.002596
310,0.002807
315,0.003222
320,0.004977
325,0.001972
330,0.002285
335,0.004677
340,0.003745
345,0.003954
350,0.003537
355,0.002914
360,-0.000416
365,0.000729
370,0.001874
375,0.002605
380,0.001353
385,0.002706
390,0.003121
395,0.001248
400,0.003224
405,0.004575
410,0.003742
415,0.002494
420,0.002182
425,0.001973
430,0.001142
435,0.002905
440,0.000726
445,0.003008
450,0.004977
455,0.00425
460,0.008085
465,0.022175
470,0.085245
475,0.513423
480,3.4745
485,15.215993
490,38.167134
495,61.730833
500,76.430591
505,83.568843
510,86.771068
515,88.256432
520,88.998882
525,89.465098
530,89.782868
535,90.04258
540,90.332899
545,90.56795
550,90.682966
555,90.754172
560,90.796146
565,90.844691
570,90.852746
575,90.890974
580,90.942635
585,90.952563
590,90.965327
595,90.982225
600,91.002919
605,90.981778
610,90.927041
615,90.907684
620,90.901197
625,90.912575
630,90.916203
635,90.88233
640,90.8425
645,90.819987
650,90.785816
655,90.756773
660,90.726351
665,90.706501
670,90.685031
675,90.670081
680,90.692705
685,90.70978
690,90.681478
695,90.655775
700,90.621434
705,90.601181
710,90.565077
715,90.52621
720,90.489625
725,90.462832
730,90.414942
735,90.367204
740,90.324888
745,90.282132
750,90.238453
755,90.200357
760,90.151225
765,90.120008
770,90.072439
775,90.022527
780,90.001954
785,89.955846
790,89.898696
795,89.879248
800,89.862099
805,89.816963
810,89.790822
815,89.745811
820,89.707807
825,89.7143
830,89.726225
835,89.741126
840,89.713608
845,89.623133
850,89.59257
855,89.516717
860,89.3929
865,89.379431
870,89.370125
875,89.308087
880,89.265205
885,89.245778
890,89.191677
895,89.172341
900,89.150695
905,89.105342
910,89.086679
915,89.058779
920,89.035753
925,89.020374
930,88.987448
935,88.960378
940,88.944388
945,88.939275
950,88.921722
955,88.893174
960,88.870954
965,88.858319
970,88.853904
975,88.831093
980,88.804369
985,88.784078
990,88.775647
995,88.7598
1000,88.760435
1005,88.767095
1010,88.750561
1015,88.745605
1020,88.727661
1025,88.722176
1030,88.719555
1035,88.690387
1040,88.680644
1045,88.703969
1050,88.695167
1055,88.68793
1060,88.693913
1065,88.696267
1070,88.702789
1075,88.693546
1080,88.689643
1085,88.669791
1090,88.675676
1095,88.701651
1100,88.692687
1105,88.682862
1110,88.67147
1115,88.677358
1120,88.71507
1125,88.705873
1130,88.703437
1135,88.719615
1140,88.7039
1145,88.702635
1150,88.711063
1155,88.720646
1160,88.728994
1165,88.733456
1170,88.738887
1175,88.746009
1180,88.74821
1185,88.728921
1190,88.738322
1195,88.754253
1200,88.764397
1205,88.765973
1210,88.771898
1215,88.770947
1220,88.776076
1225,88.793877
1230,88.811393
1235,88.818595
1240,88.826263
1245,88.839702
1250,88.869743
1255,88.880755
1260,88.875676
1265,88.883854
1270,88.879495
1275,88.889147
1280,88.919349
1285,88.957835
1290,88.958768
1295,88.967838
1300,88.972303
1305,88.975899
1310,88.9988
1315,89.011371
1320,89.045085
1325,89.065935
1330,89.077279
1335,89.063026
1340,89.083389
1345,89.099226
1350,89.116427
1355,89.149813
1360,89.142392
1365,89.155343
1370,89.199748
1375,89.232862
1380,89.23626
1385,89.249194
1390,89.196191
1395,89.171099
1400,89.159774
1405,89.149984
1410,89.178038
1415,89.206824
1420,89.231744
1425,89.275933
1430,89.323686
1435,89.353179
1440,89.413596
1445,89.486
1450,89.506309
1455,89.508499
1460,89.5291
1465,89.562855
1470,89.588358
1475,89.635784
1480,89.664337
1485,89.687881
1490,89.704211
1495,89.731996
1500,89.770793
1505,89.753741
1510,89.764753
1515,89.816058
1520,89.864275
1525,89.860026
1530,89.888029
1535,89.878807
1540,89.85913
1545,89.851645
1550,89.869492
1555,89.884631
1560,89.959379
1565,90.071963
1570,90.163506
1575,90.220424
1580,90.250957
1585,90.26335
1590,90.27745
1595,90.284984
1600,90.33041
1605,90.333931
1610,90.34561
1615,90.32286
1620,90.346109
1625,90.336778
1630,90.365827
1635,90.36675
1640,90.38334
1645,90.394917
1650,90.402408
1655,90.399436
1660,90.408025
1665,90.411283
1670,90.408435
1675,90.456371
1680,90.447376
1685,90.404355
1690,90.43331
1695,90.443663
1700,90.430365
1705,90.422051
1710,90.407416
1715,90.42282
1720,90.417216
1725,90.438621
1730,90.412813
1735,90.391869
1740,90.396692
1745,90.419486
1750,90.371088
1755,90.364976
1760,90.349457
1765,90.349792
1770,90.357119
1775,90.382766
1780,90.352439
1785,90.374479
1790,90.292498
1795,90.303923
1800,90.317532
