# Wavelength [nm]	Transmittance [0..1]
# Transmission for Ohara S-FPL51Y and 10mm thickness
# From: https://www.ohara-gmbh.com/fileadmin/user_upload/export-data/pdf/product_datasheets/S-FPL51Y_English_.pdf
225     0
240     0.04
250     0.07
260     0.21
270     0.34
280     0.51
290     0.67
300     0.80
310     0.89
320     0.943
330     0.971
340     0.986
350     0.994
360     0.996
365     0.997
370     0.998
380     0.999
390     0.999
400     0.999
420     0.999
440     0.999
460     0.999
480     0.999
500     0.999
550     0.999
600     0.999
650     0.999
700     0.999
800     0.999
900     0.999
1000    0.998
1200    0.998
1400    0.999
1600    0.999
1800    0.998
2000    0.998
2200    0.996
2400    0.995
