# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
150.38 0.0007629872
151.13 0.001065768
151.88 0.001467573
152.64 0.002591228
153.39 0.004439381
154.15 0.005511335
154.90 0.006170236
155.65 0.007401619
156.41 0.009128398
157.16 0.0118214
157.92 0.01490348
158.67 0.01790892
159.42 0.0191627
160.18 0.02027823
160.93 0.02229253
161.69 0.02447945
162.44 0.02703873
163.19 0.03115515
163.95 0.03603112
164.70 0.03836618
165.46 0.03750739
166.21 0.04188688
166.96 0.05016574
167.72 0.06789035
168.47 0.09954883
169.23 0.1382028
169.98 0.1711057
170.73 0.19344
171.49 0.2144262
172.24 0.2487683
173.00 0.2946378
173.75 0.3756267
174.50 0.4734248
175.26 0.5495658
176.01 0.580455
176.77 0.5978676
177.52 0.6540738
178.27 0.7618935
179.03 0.882113
179.78 0.9576429
180.54 0.9661369
181.29 0.9717894
182.04 1.019438
182.80 1.086321
183.55 1.075153
184.31 1.062163
185.06 1.173264
185.81 1.391497
186.57 1.636423
187.32 1.788344
188.08 1.953655
188.83 2.143528
189.58 2.295571
190.34 2.373761
191.09 2.453423
191.85 2.401157
192.60 2.296534
193.35 2.316452
194.11 2.646582
194.86 3.199567
195.62 3.690913
196.37 4.085519
197.12 4.355637
197.88 4.441523
198.63 4.570069
199.39 4.710932
200.14 4.843664
200.89 4.928856
201.65 4.954848
202.40 5.101896
203.16 5.428258
203.91 6.035459
204.66 6.477831
205.42 6.822572
206.17 7.150099
206.93 7.863465
207.68 9.017038
208.43 11.11937
209.19 14.56822
209.94 21.20821
210.70 27.09391
211.45 31.63012
212.20 32.86711
212.96 34.54853
213.71 36.96256
214.47 40.37267
215.22 41.05978
215.97 40.29989
216.73 38.73966
217.48 40.31527
218.24 43.67436
218.99 47.18875
219.74 47.94817
220.50 46.15981
221.25 45.18182
222.01 48.03428
222.76 54.84029
223.51 59.77068
224.27 59.63442
225.02 53.53593
225.78 48.14478
226.53 45.52348
227.28 48.13859
228.04 51.67022
228.79 55.46327
229.55 57.18624
230.30 58.31707
231.05 58.97551
231.81 55.13491
232.56 49.67217
233.32 42.84357
234.07 38.90176
234.82 36.5599
235.58 36.58281
236.33 35.03865
237.09 32.45833
237.84 29.93141
238.59 28.08202
239.35 27.04212
240.10 28.70621
240.86 32.41523
241.61 40.36024
242.36 47.87298
243.12 54.8983
243.87 58.12684
244.63 60.17754
245.38 60.80623
246.13 56.60604
246.89 50.86652
247.64 42.92093
248.40 38.16624
249.15 35.96622
249.90 37.25682
250.66 37.69507
251.41 34.46718
252.17 33.22589
252.92 33.4044
253.67 43.94227
254.43 57.72844
255.18 79.00799
255.94 97.75055
256.69 114.2942
257.44 117.0378
258.20 115.4412
258.95 102.8529
259.71 92.16089
260.46 84.1952
261.21 91.10693
261.97 104.8126
262.72 156.2831
263.48 212.2157
264.23 277.6095
264.98 319.8569
265.74 334.7554
266.49 333.3883
267.25 325.0019
268.00 323.4281
268.75 320.1735
269.51 304.7139
270.26 283.0236
271.02 250.543
271.77 219.3626
272.52 189.1552
273.28 169.4505
274.03 152.9577
274.79 161.7615
275.54 172.8755
276.29 190.9063
277.05 196.4669
277.80 172.4667
278.56 146.5248
279.31 118.2704
280.06 127.2576
280.82 160.4899
281.57 208.9241
282.33 262.5575
283.08 258.6219
283.83 246.669
284.59 221.1824
285.34 203.4158
286.10 247.4543
286.85 295.2033
287.60 356.4012
288.36 417.0653
289.11 476.4479
289.87 528.0593
290.62 567.5986
291.37 586.3162
292.13 581.2151
292.88 569.3901
293.64 551.6037
294.39 542.0818
295.14 538.3993
295.90 534.9663
296.65 531.6773
297.41 533.7027
298.16 538.4005
298.91 548.1403
299.67 560.1431
300.42 571.2254
301.18 581.9314
301.93 599.1148
302.68 618.9291
303.44 634.9848
304.19 649.4983
304.95 656.3184
305.70 659.7387
306.45 665.9596
307.21 673.5743
307.96 670.8759
308.72 662.2125
309.47 668.0736
310.22 684.0916
310.98 700.9881
311.73 718.6528
312.49 723.7186
313.24 714.4515
313.99 704.576
314.75 693.7632
315.50 687.5737
316.26 691.8746
317.01 696.753
317.76 703.8028
318.52 710.4394
319.27 713.3986
320.03 716.3594
320.78 704.0584
321.53 691.4982
322.29 690.1702
323.04 690.7208
323.80 732.1427
324.55 789.7
325.30 846.1461
326.06 901.7562
326.81 938.6378
327.57 948.1993
328.32 954.798
329.07 951.7161
329.83 948.3412
330.58 939.8041
331.34 931.2581
332.09 925.1294
332.84 919.391
333.60 899.6807
334.35 872.5985
335.11 840.4484
335.86 801.8561
336.61 772.2104
337.37 775.6314
338.12 779.0542
338.88 796.5891
339.63 814.483
340.38 819.4608
341.14 819.579
341.89 823.6558
342.65 832.2588
343.40 845.7171
344.15 879.0497
344.91 912.4086
345.66 944.3244
346.42 976.1242
347.17 998.6077
347.92 1015.333
348.68 1029.294
349.43 1037.168
350.19 1045.047
350.94 1044.726
351.69 1044.371
352.45 1051.156
353.20 1061.509
353.96 1061.638
354.71 1040.633
355.46 1019.609
356.22 962.8838
356.97 905.1394
357.73 885.466
358.48 890.2838
359.23 902.3158
359.99 938.0492
360.74 973.809
361.50 992.6527
362.25 1008.396
363.00 1030.204
363.76 1059.561
364.51 1089.19
365.27 1126.186
366.02 1163.208
366.77 1177.987
367.53 1178.536
368.28 1176.812
369.04 1164.274
369.79 1151.724
370.54 1124.39
371.30 1091.441
372.05 1056.916
372.81 1018.043
373.56 979.1388
374.31 991.5273
375.07 1017.425
375.82 1054.031
376.58 1114.877
377.33 1175.765
378.08 1183.783
378.84 1179.202
379.59 1157.268
380.35 1094.252
381.10 1031.19
381.85 971.7013
382.61 913.223
383.36 871.673
384.12 884.2286
384.87 896.7918
385.62 919.3659
386.38 946.4297
387.13 975.5587
387.89 1018.581
388.64 1061.632
389.39 1094.977
390.15 1120.557
390.90 1146.154
391.66 1093.717
392.41 1038.677
393.16 1002.139
393.92 997.3283
394.67 992.5134
395.43 1028.623
396.18 1077.972
396.93 1135.544
397.69 1248.006
398.44 1360.54
399.20 1456.748
399.95 1535.993
400.70 1615.287
401.46 1636.038
402.21 1645.486
402.97 1651.474
403.72 1640.836
404.47 1630.189
405.23 1624.752
405.98 1624.669
406.74 1624.585
407.49 1640.498
408.24 1660.394
409.00 1680.256
409.75 1699.697
410.51 1719.147
411.26 1734.634
412.01 1743.512
412.77 1752.393
413.52 1757.029
414.28 1759.296
415.03 1761.562
415.78 1753.13
416.54 1743.439
417.29 1732.423
418.05 1712.884
418.80 1693.333
419.55 1677.612
420.31 1668.735
421.06 1659.85
421.82 1648.812
422.57 1636.156
423.32 1623.491
424.08 1607.518
424.83 1590.545
425.59 1573.56
426.34 1534.905
427.09 1495.141
427.85 1455.435
428.60 1416.298
429.36 1377.138
430.11 1359.493
430.86 1398.018
431.62 1436.563
432.37 1483.057
433.13 1540.629
433.88 1598.231
434.63 1637.514
435.39 1661.418
436.14 1685.333
436.90 1693.903
437.65 1694.44
438.40 1694.975
439.16 1709.431
439.91 1728.454
440.67 1747.483
441.42 1772.114
442.17 1797.846
442.93 1823.588
443.68 1838.32
444.44 1851.911
445.19 1865.506
445.94 1888.889
446.70 1912.7
447.45 1936.521
448.21 1963.656
448.96 1990.807
449.71 2017.397
450.47 2020.621
451.22 2022.315
451.98 2023.801
452.73 2018.943
453.48 2014.083
454.24 2009.615
454.99 2019.594
455.75 2029.577
456.50 2039.513
457.25 2039.858
458.01 2040.203
458.76 2040.549
459.52 2039.179
460.27 2037.755
461.02 2036.33
461.78 2035.559
462.53 2034.847
463.29 2034.134
464.04 2035.291
464.79 2036.775
465.55 2038.259
466.30 2039.337
467.06 2040.293
467.81 2041.249
468.56 2039.281
469.32 2035.889
470.07 2032.495
470.83 2034.29
471.58 2040.17
472.33 2046.052
473.09 2053.742
473.84 2063.82
474.60 2073.9
475.35 2082.154
476.10 2085.85
476.86 2089.547
477.61 2092.471
478.37 2090.093
479.12 2087.714
479.87 2085.334
480.63 2076.499
481.38 2067.329
482.14 2058.155
482.89 2033.784
483.64 2004.604
484.40 1975.414
485.15 1953.12
485.91 1936.43
486.66 1919.735
487.41 1912.907
488.17 1926.224
488.92 1939.546
489.68 1952.437
490.43 1960.862
491.18 1969.29
491.94 1977.721
492.69 1985.358
493.45 1992.838
494.20 2000.32
494.95 1999.729
495.71 1992.784
496.46 1985.837
497.22 1976.223
497.97 1959.421
498.72 1942.613
499.48 1925.799
500.23 1921.335
500.99 1917.311
501.74 1913.286
502.49 1918.515
503.25 1928.88
504.00 1939.248
504.76 1948.711
505.51 1956.109
506.26 1963.508
507.02 1970.911
507.77 1969.907
508.53 1968.457
509.28 1967.006
510.03 1960.958
510.79 1951.537
511.54 1942.112
512.30 1929.825
513.05 1905.203
513.80 1880.574
514.56 1855.936
515.31 1831.708
516.07 1807.588
516.82 1783.46
517.57 1771.545
518.33 1781.54
519.08 1791.537
519.84 1801.538
520.59 1820.794
521.34 1840.886
522.10 1860.985
522.85 1871.835
523.61 1871.832
524.36 1871.829
525.11 1871.826
525.87 1874.066
526.62 1876.341
527.38 1878.615
528.13 1884.816
528.88 1895.051
529.64 1905.289
530.39 1915.53
531.15 1911.188
531.90 1906.607
532.65 1902.025
533.41 1901.02
534.16 1904.278
534.92 1907.537
535.67 1910.797
536.42 1911.026
537.18 1910.958
537.93 1910.891
538.69 1909.198
539.44 1904.451
540.19 1899.703
540.95 1894.953
541.70 1897.482
542.46 1902.229
543.21 1906.978
543.96 1911.135
544.72 1912.365
545.47 1913.596
546.23 1914.827
546.98 1913.674
547.73 1910.584
548.49 1907.493
549.24 1904.401
550.00 1904.916
550.75 1905.56
551.50 1906.203
552.26 1906.35
553.01 1905.115
553.77 1903.879
554.52 1902.644
555.27 1898.276
556.03 1891.744
556.78 1885.211
557.54 1878.677
558.29 1877.468
559.04 1876.838
559.80 1876.208
560.55 1876.094
561.31 1878.13
562.06 1880.166
562.81 1882.203
563.57 1882.243
564.32 1880.001
565.08 1877.759
565.83 1875.517
566.58 1875.024
567.34 1875.21
568.09 1875.396
568.85 1875.583
569.60 1879.254
570.35 1883.085
571.11 1886.917
571.86 1890.346
572.62 1891.838
573.37 1893.331
574.12 1894.824
574.88 1894.604
575.63 1891.468
576.39 1888.331
577.14 1885.194
577.89 1883.645
578.65 1883.399
579.40 1883.153
580.16 1882.907
580.91 1882.307
581.66 1881.562
582.42 1880.817
583.17 1880.071
583.93 1872.985
584.68 1864.768
585.43 1856.551
586.19 1848.332
586.94 1839.464
587.70 1830.574
588.45 1821.683
589.20 1813.578
589.96 1815.661
590.71 1817.744
591.47 1819.827
592.22 1822.134
592.97 1825.683
593.73 1829.232
594.48 1832.781
595.24 1835.036
595.99 1832.562
596.74 1830.088
597.50 1827.613
598.25 1824.677
599.01 1820.407
599.76 1816.137
600.51 1811.755
601.27 1808.45
602.02 1808.05
602.78 1807.649
603.53 1807.249
604.28 1806.13
605.04 1803.186
605.79 1800.241
606.55 1797.297
607.30 1792.849
608.05 1784.237
608.81 1775.625
609.56 1767.013
610.32 1758.071
611.07 1748.007
611.82 1737.944
612.58 1727.881
613.33 1718.816
614.09 1714.631
614.84 1710.446
615.59 1706.262
616.35 1702.702
617.10 1705.348
617.86 1707.994
618.61 1710.639
619.36 1713.285
620.12 1710.719
620.87 1708.119
621.63 1705.519
622.38 1702.92
623.13 1699.514
623.89 1695.993
624.64 1692.471
625.40 1688.95
626.15 1688.272
626.90 1688.619
627.66 1688.966
628.41 1689.314
629.17 1687.578
629.92 1684.29
630.67 1681.003
631.43 1677.715
632.18 1674.667
632.94 1671.988
633.69 1669.31
634.44 1666.632
635.20 1664.13
635.95 1662.379
636.71 1660.629
637.46 1658.88
638.21 1657.13
638.97 1653.628
639.72 1650.067
640.48 1646.506
641.23 1642.945
641.98 1639.63
642.74 1636.409
643.49 1633.189
