# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
150.38 0.0007006208
151.13 0.0009789456
151.88 0.001348421
152.64 0.002381557
153.39 0.004081378
154.15 0.005068388
154.90 0.005676009
155.65 0.006810765
156.41 0.008402166
157.16 0.0108841
157.92 0.01372582
158.67 0.01649857
159.42 0.01765873
160.18 0.01869211
160.93 0.02055478
161.69 0.02257771
162.44 0.02494531
163.19 0.02875123
163.95 0.03326044
164.70 0.035426
165.46 0.03464283
166.21 0.03869875
166.96 0.04636052
167.72 0.06275828
168.47 0.09204931
169.23 0.1278269
169.98 0.1583036
170.73 0.1790163
171.49 0.1984926
172.24 0.2303463
173.00 0.2728939
173.75 0.3480012
174.50 0.4387265
175.26 0.5094256
176.01 0.5382047
176.77 0.5544999
177.52 0.6067927
178.27 0.7070086
179.03 0.8187874
179.78 0.8891328
180.54 0.8972583
181.29 0.9027477
182.04 0.9472623
182.80 1.009677
183.55 0.9995604
184.31 0.9877428
185.06 1.091345
185.81 1.294679
186.57 1.522961
187.32 1.66478
188.08 1.81914
188.83 1.996454
189.58 2.138617
190.34 2.212028
191.09 2.286847
191.85 2.238701
192.60 2.141701
193.35 2.160825
194.11 2.4694
194.86 2.986117
195.62 3.445552
196.37 3.814881
197.12 4.068124
197.88 4.149375
198.63 4.270528
199.39 4.403249
200.14 4.528432
200.89 4.609216
201.65 4.634661
202.40 4.773377
203.16 5.079965
203.91 5.649584
204.66 6.065147
205.42 6.389474
206.17 6.697827
206.93 7.367846
207.68 8.450742
208.43 10.42354
209.19 13.65983
209.94 19.89053
210.70 25.41659
211.45 29.679
212.20 30.84698
212.96 32.43269
213.71 34.70703
214.47 37.91793
215.22 38.57228
215.97 37.86724
216.73 36.40966
217.48 37.89928
218.24 41.06656
218.99 44.38133
219.74 45.10593
220.50 43.43353
221.25 42.52302
222.01 45.21793
222.76 51.63662
223.51 56.29174
224.27 56.1761
225.02 50.44265
225.78 45.37319
226.53 42.91241
227.28 45.38767
228.04 48.72835
228.79 52.31707
229.55 53.95426
230.30 55.03334
231.05 55.66698
231.81 52.05328
232.56 46.90615
233.32 40.46665
234.07 36.75155
234.82 34.54664
235.58 34.57579
236.33 33.12351
237.09 30.69084
237.84 28.30761
238.59 26.56425
239.35 25.58603
240.10 27.16632
240.86 30.6829
241.61 38.21143
242.36 45.33379
243.12 51.99745
243.87 55.06699
244.63 57.02171
245.38 57.6295
246.13 53.65995
246.89 48.22919
247.64 40.70402
248.40 36.20242
249.15 34.12265
249.90 35.35437
250.66 35.7776
251.41 32.72061
252.17 31.54868
252.92 31.72464
253.67 41.74111
254.43 54.84782
255.18 75.08071
255.94 92.91037
256.69 108.6567
257.44 111.2873
258.20 109.7912
258.95 97.83845
259.71 87.6852
260.46 80.12228
261.21 86.71682
261.97 99.7818
262.72 148.8111
263.48 202.1093
264.23 264.4406
264.98 304.7435
265.74 319.0002
266.49 317.7592
267.25 309.8261
268.00 308.3854
268.75 305.3411
269.51 290.6536
270.26 270.0161
271.02 239.074
271.77 209.3609
272.52 180.5651
273.28 161.786
274.03 146.0669
274.79 154.5033
275.54 165.1498
276.29 182.409
277.05 187.7574
277.80 164.8519
278.56 140.0815
279.31 113.0906
280.06 121.7068
280.82 153.518
281.57 199.8851
282.33 251.2444
283.08 247.5237
283.83 236.127
284.59 211.7684
285.34 194.7935
286.10 237.0084
286.85 282.7931
287.60 341.48
288.36 399.6764
289.11 456.6653
289.87 506.2247
290.62 544.2265
291.37 562.2738
292.13 557.4813
292.88 546.2361
293.64 529.2669
294.39 520.2225
295.14 516.7797
295.90 513.5748
296.65 510.507
297.41 512.5415
298.16 517.1433
298.91 526.5902
299.67 538.2147
300.42 548.9583
301.18 559.3436
301.93 575.9594
302.68 595.1102
303.44 610.6527
304.19 624.717
304.95 631.3847
305.70 634.7831
306.45 640.8776
307.21 648.3153
307.96 645.8272
308.72 637.5948
309.47 643.3462
310.22 658.8818
310.98 675.2687
311.73 692.4008
312.49 697.3977
313.24 688.582
313.99 679.1766
314.75 668.8642
315.50 663.006
316.26 667.2631
317.01 672.0782
317.76 678.9894
318.52 685.5039
319.27 688.4714
320.03 691.441
320.78 679.678
321.53 667.6606
322.29 666.486
323.04 667.125
323.80 707.2453
324.55 762.9674
325.30 817.6332
326.06 871.5082
326.81 907.2969
327.57 916.6843
328.32 923.2097
329.07 920.3749
329.83 917.2554
330.58 909.1409
331.34 901.0148
332.09 895.2249
332.84 889.8107
333.60 870.8699
334.35 844.786
335.11 813.7864
335.86 776.5382
336.61 747.9437
337.37 751.3726
338.12 754.8039
338.88 771.911
339.63 789.3708
340.38 794.3159
341.14 794.551
341.89 798.6241
342.65 807.0876
343.40 820.2624
344.15 852.7198
344.91 885.2122
345.66 916.3137
346.42 947.3115
347.17 969.2756
347.92 985.6559
348.68 999.3567
349.43 1007.15
350.19 1014.951
350.94 1014.789
351.69 1014.593
352.45 1021.333
353.20 1031.543
353.96 1031.819
354.71 1011.551
355.46 991.2584
356.22 936.2456
356.97 880.2256
357.73 861.2176
358.48 866.0278
359.23 877.8577
359.99 912.7529
360.74 947.6835
361.50 966.159
362.25 981.6217
363.00 1002.992
363.76 1031.719
364.51 1060.72
365.27 1096.902
366.02 1133.12
366.77 1147.677
367.53 1148.373
368.28 1146.853
369.04 1134.791
369.79 1122.715
370.54 1096.22
371.30 1064.243
372.05 1030.721
372.81 992.9471
373.56 955.1331
374.31 967.35
375.07 992.7516
375.82 1028.61
376.58 1088.135
377.33 1147.718
378.08 1155.701
378.84 1151.384
379.59 1130.119
380.35 1068.725
381.10 1007.269
381.85 949.2864
382.61 892.2758
383.36 851.792
384.12 864.1757
384.87 876.5698
385.62 898.7534
386.38 925.3321
387.13 953.9369
387.89 996.1364
388.64 1038.374
389.39 1071.128
390.15 1096.294
390.90 1121.481
391.66 1070.312
392.41 1016.581
393.16 980.9463
393.92 976.3631
394.67 971.7741
395.43 1007.258
396.18 1055.717
396.93 1112.241
397.69 1222.551
398.44 1332.959
399.20 1427.397
399.95 1505.235
400.70 1583.14
401.46 1603.679
402.21 1613.142
402.97 1619.216
403.72 1608.986
404.47 1598.745
405.23 1593.61
405.98 1593.726
406.74 1593.84
407.49 1609.651
408.24 1629.373
409.00 1649.066
409.75 1668.35
410.51 1687.648
411.26 1703.058
412.01 1711.983
412.77 1720.912
413.52 1725.674
414.28 1728.109
415.03 1730.543
415.78 1722.467
416.54 1713.15
417.29 1702.529
418.05 1683.529
418.80 1664.51
419.55 1649.253
420.31 1640.72
421.06 1632.178
421.82 1621.515
422.57 1609.258
423.32 1596.988
424.08 1581.462
424.83 1564.946
