# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
150.38 0.0005434272
151.13 0.0007597042
151.88 0.001046981
152.64 0.001850126
153.39 0.003172299
154.15 0.003941519
154.90 0.004416347
155.65 0.005302027
156.41 0.006544298
157.16 0.008481838
157.92 0.0107019
158.67 0.01287045
159.42 0.01378262
160.18 0.01459671
160.93 0.01605957
161.69 0.01764919
162.44 0.01951002
163.19 0.02249825
163.95 0.02604015
164.70 0.02774985
165.46 0.02715029
166.21 0.03034455
166.96 0.03637093
167.72 0.04926053
168.47 0.07228871
169.23 0.100437
169.98 0.1244468
170.73 0.1408013
171.49 0.1561994
172.24 0.1813581
173.00 0.2149661
173.75 0.2742693
174.50 0.3459476
175.26 0.4018991
176.01 0.4248185
176.77 0.4379018
177.52 0.4794406
178.27 0.5589052
179.03 0.6475948
179.78 0.7035863
180.54 0.7103732
181.29 0.7150784
182.04 0.7507156
182.80 0.8005812
183.55 0.7929568
184.31 0.7839742
185.06 0.8666367
185.81 1.028618
186.57 1.210591
187.32 1.323982
188.08 1.447464
188.83 1.589342
189.58 1.703362
190.34 1.762708
191.09 1.823235
191.85 1.785735
192.60 1.709209
193.35 1.725325
194.11 1.972685
194.86 2.386645
195.62 2.755208
196.37 3.052046
197.12 3.256255
197.88 3.322929
198.63 3.421635
199.39 3.529711
200.14 3.631845
200.89 3.698451
201.65 3.720695
202.40 3.833936
203.16 4.082186
203.91 4.542148
204.66 4.87864
205.42 5.142035
206.17 5.392822
206.93 5.935193
207.68 6.810847
208.43 8.404915
209.19 11.01984
209.94 16.05416
210.70 20.52437
211.45 23.97801
212.20 24.93375
212.96 26.22822
213.71 28.0811
214.47 30.6939
215.22 31.23872
215.97 30.68259
216.73 29.51584
217.48 30.73829
218.24 33.32322
218.99 36.03038
219.74 36.63631
220.50 35.29497
221.25 34.57174
222.01 36.78046
222.76 42.02169
223.51 45.83206
224.27 45.75992
225.02 41.10932
225.78 36.99563
226.53 35.00601
227.28 37.04299
228.04 39.78855
228.79 42.73936
229.55 44.09796
230.30 45.00146
231.05 45.54138
231.81 42.60538
232.56 38.41083
233.32 33.15345
234.07 30.12413
234.82 28.33035
235.58 28.36778
236.33 27.18922
237.09 25.20439
237.84 23.25827
238.59 21.83628
239.35 21.04217
240.10 22.35244
240.86 25.25789
241.61 31.47025
242.36 37.35383
243.12 42.86486
243.87 45.41682
244.63 47.0513
245.38 47.57536
246.13 44.31934
246.89 39.85278
247.64 33.6505
248.40 29.94314
249.15 28.23631
249.90 29.26938
250.66 29.63377
251.41 27.11454
252.17 26.15574
252.92 26.31404
253.67 34.63854
254.43 45.53651
255.18 62.36394
255.94 77.21007
256.69 90.33806
257.44 92.56873
258.20 91.36724
258.95 81.45861
259.71 73.03953
260.46 66.77119
261.21 72.30082
261.97 83.23294
262.72 124.189
263.48 168.7477
264.23 220.8938
264.98 254.6793
265.74 266.7189
266.49 265.8059
267.25 259.2913
268.00 258.2065
268.75 255.7773
269.51 243.5879
270.26 226.3981
271.02 200.5482
271.77 175.7054
272.52 151.6095
273.28 135.9054
274.03 122.7582
274.79 129.909
275.54 138.9256
276.29 153.5159
277.05 158.0908
277.80 138.8693
278.56 118.0581
279.31 95.35514
280.06 102.668
280.82 129.5632
281.57 168.7738
282.33 212.2381
283.08 209.1925
283.83 199.6536
284.59 179.141
285.34 164.8581
286.10 200.6789
286.85 239.5569
287.60 289.4057
288.36 338.885
289.11 387.3859
289.87 429.6263
290.62 462.0927
291.37 477.6381
292.13 473.787
292.88 464.4457
293.64 450.2264
294.39 442.7381
295.14 440.0123
295.90 437.4865
296.65 435.0749
297.41 437.0115
298.16 441.1397
298.91 449.4066
299.67 459.5402
300.42 468.9307
301.18 478.0236
301.93 492.4518
302.68 509.0618
303.44 522.599
304.19 534.883
304.95 540.8423
305.70 544.0052
306.45 549.4825
307.21 556.117
307.96 554.2392
308.72 547.4276
309.47 552.6213
310.22 566.2281
310.98 580.5791
311.73 595.5844
312.49 600.1601
313.24 592.8478
313.99 585.0204
314.75 576.4042
315.50 571.6201
316.26 575.5564
317.01 579.9778
317.76 586.2129
318.52 592.1109
319.27 594.9489
320.03 597.7914
320.78 587.8932
321.53 577.7656
322.29 577.0157
323.04 577.8358
323.80 612.8695
324.55 661.4615
325.30 709.182
326.06 756.2603
326.81 787.6801
327.57 796.1976
328.32 802.2357
329.07 800.1419
329.83 797.7983
330.58 791.1058
331.34 784.3969
332.09 779.7165
332.84 775.3588
333.60 759.2048
334.35 736.8056
335.11 710.0963
335.86 677.9071
336.61 653.2461
337.37 656.544
338.12 659.8469
338.88 675.1135
339.63 690.7028
340.38 695.3509
341.14 695.878
341.89 699.7684
342.65 707.5109
343.40 719.3924
344.15 748.2039
344.91 777.0727
345.66 804.7463
346.42 832.3543
347.17 852.0466
347.92 866.8461
348.68 879.3016
349.43 886.5685
350.19 893.8478
350.94 894.1183
351.69 894.3588
352.45 900.7165
353.20 910.1411
353.96 910.8058
354.71 893.3272
355.46 875.8111
356.22 827.5878
356.97 778.4291
357.73 761.9716
358.48 766.5818
359.23 777.4127
359.99 808.6891
360.74 840.0256
361.50 856.7985
362.25 870.9137
363.00 890.286
363.76 916.2087
364.51 942.398
365.27 974.9958
366.02 1007.655
366.77 1021.073
367.53 1022.165
368.28 1021.284
369.04 1011.011
369.79 1000.715
370.54 977.5528
371.30 949.4772
372.05 919.9961
372.81 886.6906
373.56 853.3185
374.31 864.6337
375.07 887.7495
375.82 920.2417
376.58 973.9475
377.33 1027.754
378.08 1035.382
378.84 1031.994
379.59 1013.404
380.35 958.795
381.10 904.08
381.85 852.4333
382.61 801.6114
383.36 765.5966
384.12 777.088
384.87 788.5993
385.62 808.9324
386.38 833.2419
387.13 859.3993
387.89 897.834
388.64 936.3387
389.39 966.3231
390.15 989.4869
390.90 1012.692
391.66 966.936
392.41 918.8224
393.16 887.0269
393.92 883.2938
394.67 879.5517
395.43 912.0931
396.18 956.4188
396.93 1008.097
397.69 1108.594
398.44 1209.274
399.20 1295.553
399.95 1366.839
400.70 1438.252
401.46 1457.592
402.21 1466.877
402.97 1473.088
403.72 1464.465
404.47 1455.823
405.23 1451.826
405.98 1452.61
406.74 1453.393
407.49 1468.497
408.24 1487.186
409.00 1505.864
409.75 1524.187
410.51 1542.539
411.26 1557.353
412.01 1566.247
412.77 1575.154
413.52 1580.253
414.28 1583.224
415.03 1586.198
415.78 1579.536
416.54 1571.729
417.29 1562.718
418.05 1546.003
418.80 1529.256
419.55 1515.95
420.31 1508.816
421.06 1501.666
421.82 1492.557
422.57 1481.971
423.32 1471.364
424.08 1457.744
424.83 1443.2
425.59 1428.627
426.34 1394.351
427.09 1359.026
427.85 1323.711
428.60 1288.873
429.36 1253.971
430.11 1238.631
430.86 1274.479
431.62 1310.385
432.37 1353.589
433.13 1406.96
433.88 1460.419
434.63 1497.192
435.39 1519.938
436.14 1542.72
436.90 1551.474
437.65 1552.875
438.40 1554.275
439.16 1568.449
439.91 1586.831
440.67 1605.24
441.42 1628.819
442.17 1653.437
442.93 1678.093
443.68 1692.639
444.44 1706.15
445.19 1719.681
445.94 1742.254
446.70 1765.248
447.45 1788.278
448.21 1814.396
448.96 1840.558
449.71 1866.232
450.47 1868.483
451.22 1871.26
451.98 1873.845
452.73 1870.555
453.48 1867.256
454.24 1864.315
454.99 1874.78
455.75 1885.259
456.50 1895.706
457.25 1897.244
458.01 1898.783
458.76 1900.322
459.52 1900.262
460.27 1900.15
461.02 1900.035
461.78 1900.528
462.53 1901.074
463.29 1901.619
464.04 1903.912
464.79 1906.512
465.55 1909.113
466.30 1911.335
467.06 1913.444
467.81 1915.553
468.56 1914.918
469.32 1912.941
470.07 1910.958
470.83 1913.853
471.58 1920.595
472.33 1927.345
473.09 1935.806
473.84 1946.528
474.60 1957.264
475.35 1966.286
476.10 1971.011
476.86 1975.741
477.61 1979.744
478.37 1978.73
479.12 1977.711
479.87 1976.689
480.63 1969.541
481.38 1962.064
482.14 1954.572
482.89 1932.627
483.64 1906.081
484.40 1879.491
485.15 1859.431
485.91 1844.683
486.66 1829.909
487.41 1824.527
488.17 1838.364
488.92 1852.22
489.68 1865.678
490.43 1874.883
491.18 1884.099
491.94 1893.328
492.69 1901.805
493.45 1910.14
494.20 1918.486
494.95 1919.093
495.71 1913.598
496.46 1908.092
497.22 1900.013
497.97 1885.007
498.72 1869.975
499.48 1854.918
500.23 1851.726
500.99 1848.912
501.74 1846.091
502.49 1852.2
503.25 1863.276
504.00 1874.366
504.76 1884.593
505.51 1892.83
506.26 1901.077
507.02 1909.334
507.77 1909.452
508.53 1909.135
509.28 1908.815
510.03 1904.03
510.79 1895.96
511.54 1887.877
512.30 1876.998
513.05 1854.102
513.80 1831.171
514.56 1808.204
515.31 1785.609
516.07 1763.092
516.82 1740.54
517.57 1729.888
518.33 1740.629
519.08 1751.383
519.84 1762.151
520.59 1781.988
521.34 1802.664
522.10 1823.368
522.85 1835.027
523.61 1836.053
524.36 1837.078
525.11 1838.102
525.87 1841.331
526.62 1844.594
527.38 1847.861
528.13 1854.994
528.88 1866.105
529.64 1877.231
530.39 1888.37
531.15 1885.135
531.90 1881.661
532.65 1878.18
533.41 1878.226
534.16 1882.487
534.92 1886.751
535.67 1891.02
536.42 1892.29
537.18 1893.267
537.93 1894.243
538.69 1893.607
539.44 1889.937
540.19 1886.261
540.95 1882.578
541.70 1886.124
542.46 1891.88
543.21 1897.641
543.96 1902.818
544.72 1905.084
545.47 1907.351
546.23 1909.619
546.98 1909.51
