# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
150.38 0.0006863403
151.13 0.0009589381
151.88 0.001320789
152.64 0.002332624
153.39 0.003997301
154.15 0.004963709
154.90 0.005558483
155.65 0.006669387
156.41 0.008227321
157.16 0.01065706
157.92 0.0134388
158.67 0.01615274
159.42 0.01728771
160.18 0.01829847
160.93 0.02012091
161.69 0.02210006
162.44 0.02441639
163.19 0.02814027
163.95 0.0325521
164.70 0.03466992
165.46 0.03390189
166.21 0.03786933
166.96 0.04536482
167.72 0.06140764
168.47 0.09006429
169.23 0.1250649
169.98 0.1548763
170.73 0.1751331
171.49 0.1941786
172.24 0.2253305
173.00 0.2669406
173.75 0.3403955
174.50 0.4291205
175.26 0.4982517
176.01 0.5263788
176.77 0.5422947
177.52 0.5934137
178.27 0.6913936
179.03 0.8006735
179.78 0.8694304
180.54 0.8773436
181.29 0.8826793
182.04 0.9261711
182.80 0.9871613
183.55 0.9772363
184.31 0.9656495
185.06 1.066898
185.81 1.265635
186.57 1.488747
187.32 1.627327
188.08 1.778157
188.83 1.951416
189.58 2.090306
190.34 2.161992
191.09 2.235051
191.85 2.187931
192.60 2.093069
193.35 2.111698
194.11 2.413189
194.86 2.918062
195.62 3.366933
196.37 3.727735
197.12 3.975086
197.88 4.054373
198.63 4.172643
199.39 4.302214
200.14 4.424414
200.89 4.503232
201.65 4.527983
202.40 4.663396
203.16 4.962805
203.91 5.51916
204.66 5.924998
205.42 6.241694
206.17 6.542775
206.93 7.197131
207.68 8.254766
208.43 10.18161
209.19 13.34252
209.94 19.4281
210.70 24.82522
211.45 28.98792
212.20 30.12815
212.96 31.67635
213.71 33.89706
214.47 37.03241
215.22 37.67085
215.97 36.9817
216.73 35.55764
217.48 37.01184
218.24 40.10435
218.99 43.34084
219.74 44.04782
220.50 42.41408
221.25 41.52438
222.01 44.15543
222.76 50.42268
223.51 54.96769
224.27 54.85414
225.02 49.25505
225.78 44.30446
226.53 41.9012
227.28 44.31769
228.04 47.57915
228.79 51.08276
229.55 52.68085
230.30 53.73401
231.05 54.35224
231.81 50.82349
232.56 45.79762
233.32 39.51003
234.07 35.88251
234.82 33.72953
235.58 33.75779
236.33 32.3397
237.09 29.96444
237.84 27.63749
238.59 25.93529
239.35 24.98013
240.10 26.52289
240.86 29.95609
241.61 37.30617
242.36 44.25969
243.12 50.76536
243.87 53.76207
244.63 55.6704
245.38 56.26373
246.13 52.38822
246.89 47.08615
247.64 39.73933
248.40 35.34444
249.15 33.31399
249.90 34.51656
250.66 34.92981
251.41 31.94532
252.17 30.80122
252.92 30.9731
253.67 40.7524
254.43 53.54883
255.18 73.30282
255.94 90.71064
256.69 106.0846
257.44 108.6535
258.20 107.1933
258.95 95.52392
259.71 85.61136
260.46 78.22779
261.21 84.66696
261.97 97.42377
262.72 145.2955
263.48 197.3359
264.23 258.1972
264.98 297.551
265.74 311.4739
266.49 310.265
267.25 302.5218
268.00 301.118
268.75 298.1484
269.51 283.8098
270.26 263.661
271.02 233.4497
271.77 204.438
272.52 176.3214
273.28 157.9855
274.03 142.6374
274.79 150.8777
275.54 161.2764
276.29 178.1332
277.05 183.3587
277.80 160.9922
278.56 136.8037
279.31 110.446
280.06 118.8625
280.82 149.9325
281.57 195.2197
282.33 245.3842
283.08 241.7543
283.83 230.6271
284.59 206.8393
285.34 190.2628
286.10 231.4999
286.85 276.2255
287.60 333.5555
288.36 390.4087
289.11 446.0846
289.87 494.5052
290.62 531.6378
291.37 549.2785
292.13 544.6078
292.88 533.6333
293.64 517.0664
294.39 508.2412
295.14 504.8886
295.90 501.7685
296.65 498.7822
297.41 500.7812
298.16 505.289
298.91 514.5312
299.67 525.9018
300.42 536.4124
301.18 546.5735
301.93 562.8236
302.68 581.552
303.44 596.7554
304.19 610.5151
304.95 617.047
305.70 620.3843
306.45 626.357
307.21 633.643
307.96 631.2283
308.72 623.1989
309.47 628.8377
310.22 644.0409
310.98 660.0772
311.73 676.8431
312.49 681.7473
313.24 673.149
313.99 663.9739
314.75 653.9117
315.50 648.2039
316.26 652.3857
317.01 657.1135
317.76 663.8913
318.52 670.2819
319.27 673.2046
320.03 676.1298
320.78 664.6487
321.53 652.9182
322.29 651.7907
323.04 652.4371
323.80 691.6972
324.55 746.2194
